DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_truncated,DEFAULT_Truncated_Version,DEFAULT_Truncated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls
2,300,2,0,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-10,TR1,0.19,1,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
106,kein_Terminated,Zeit abgelaufen,0.26,258,-10582.0,21,20250407-005056
107,kein_Terminated,Zeit abgelaufen,0.24,225,-10192.0,21,20250407-005115
108,kein_Terminated,Zeit abgelaufen,0.37,127,-4422.0,21,20250407-005133
109,kein_Terminated,Zeit abgelaufen,0.21,457,-20318.0,21,20250407-005152
110,kein_Terminated,Zeit abgelaufen,0.1,594,-27940.0,21,20250407-005211
111,kein_Terminated,Zeit abgelaufen,0.22,178,-8160.0,21,20250407-005230
112,kein_Terminated,Zeit abgelaufen,0.21,208,-9620.0,21,20250407-005248
113,kein_Terminated,Zeit abgelaufen,0.28,207,-8340.0,21,20250407-005307
114,kein_Terminated,Zeit abgelaufen,0.3,332,-13866.0,21,20250407-005326
115,kein_Terminated,Zeit abgelaufen,0.16,89,-3608.0,21,20250407-005344
116,kein_Terminated,Zeit abgelaufen,0.24,191,-7590.0,21,20250407-005403
117,kein_Terminated,Zeit abgelaufen,0.36,211,-5870.0,21,20250407-005422
118,kein_Terminated,Zeit abgelaufen,0.19,105,-3624.0,21,20250407-005440
119,kein_Terminated,Zeit abgelaufen,0.29,79,-2808.0,21,20250407-005459
120,kein_Terminated,Zeit abgelaufen,0.24,107,-3462.0,21,20250407-005518
121,kein_Terminated,Zeit abgelaufen,0.48,252,-9922.0,21,20250407-005536
122,kein_Terminated,Zeit abgelaufen,0.19,487,-21910.0,21,20250407-005555
123,kein_Terminated,Zeit abgelaufen,0.18,438,-19420.0,21,20250407-005614
124,kein_Terminated,Zeit abgelaufen,0.18,448,-20230.0,21,20250407-005634
125,kein_Terminated,Zeit abgelaufen,0.16,393,-17918.0,21,20250407-005653
126,kein_Terminated,Zeit abgelaufen,0.21,287,-12258.0,21,20250407-005712
127,kein_Terminated,Zeit abgelaufen,0.3,339,-14016.0,21,20250407-005730
128,kein_Terminated,Zeit abgelaufen,0.26,247,-9808.0,21,20250407-005749
129,kein_Terminated,Zeit abgelaufen,0.18,445,-18994.0,21,20250407-005808
130,kein_Terminated,Zeit abgelaufen,0.12,5,134.0,21,20250407-005827
131,kein_Terminated,Zeit abgelaufen,0.25,229,-13102.0,21,20250407-005846
132,kein_Terminated,Zeit abgelaufen,0.29,268,-11234.0,21,20250407-005905
133,kein_Terminated,Zeit abgelaufen,0.2,82,-2098.0,21,20250407-005924
134,kein_Terminated,Zeit abgelaufen,0.35,257,-10418.0,21,20250407-005943
135,kein_Terminated,Zeit abgelaufen,0.24,417,-18830.0,21,20250407-010002
136,kein_Terminated,Zeit abgelaufen,0.36,239,-9562.0,21,20250407-010021
137,kein_Terminated,Zeit abgelaufen,0.19,11,572.0,21,20250407-010040
138,kein_Terminated,Zeit abgelaufen,0.2,78,-2492.0,21,20250407-010058
139,kein_Terminated,Zeit abgelaufen,0.29,120,-4516.0,21,20250407-010117
140,kein_Terminated,Zeit abgelaufen,0.24,59,-2500.0,21,20250407-010135
141,kein_Terminated,Zeit abgelaufen,0.14,74,-2780.0,21,20250407-010154
142,kein_Terminated,Zeit abgelaufen,0.12,13,-924.0,21,20250407-010213
143,kein_Terminated,Zeit abgelaufen,0.14,9,132.0,21,20250407-010231
144,kein_Terminated,Zeit abgelaufen,0.17,226,-10414.0,21,20250407-010250
145,kein_Terminated,Zeit abgelaufen,0.12,60,-2542.0,21,20250407-010309
146,kein_Terminated,Zeit abgelaufen,0.16,96,-3374.0,21,20250407-010328
147,kein_Terminated,Zeit abgelaufen,0.13,74,-3108.0,21,20250407-010346
148,kein_Terminated,Zeit abgelaufen,0.18,250,-12526.0,21,20250407-010406
149,kein_Terminated,Zeit abgelaufen,0.25,271,-3044.0,21,20250407-010424
150,kein_Terminated,Zeit abgelaufen,0.22,45,-1006.0,21,20250407-010443
151,kein_Terminated,Zeit abgelaufen,0.15,207,-9764.0,21,20250407-010502
152,kein_Terminated,Zeit abgelaufen,0.23,109,-3954.0,21,20250407-010521
153,kein_Terminated,Zeit abgelaufen,0.14,75,-2882.0,21,20250407-010540
154,kein_Terminated,Zeit abgelaufen,0.12,74,-2432.0,21,20250407-010558
155,kein_Terminated,Zeit abgelaufen,0.19,14,464.0,21,20250407-010617
156,kein_Terminated,Zeit abgelaufen,0.15,16,210.0,21,20250407-010635
157,kein_Terminated,Zeit abgelaufen,0.16,46,-1206.0,21,20250407-010654
158,kein_Terminated,Zeit abgelaufen,0.21,157,-5006.0,21,20250407-010713
159,kein_Terminated,Zeit abgelaufen,0.12,147,-9328.0,21,20250407-010732
160,kein_Terminated,Zeit abgelaufen,0.12,64,-2830.0,21,20250407-010751
161,kein_Terminated,Zeit abgelaufen,0.1,29,-874.0,21,20250407-010810
162,kein_Terminated,Zeit abgelaufen,0.14,12,334.0,21,20250407-010828
163,kein_Terminated,Zeit abgelaufen,0.1,13,-170.0,21,20250407-010847
164,kein_Terminated,Zeit abgelaufen,0.2,39,-1678.0,21,20250407-010905
165,kein_Terminated,Zeit abgelaufen,0.18,70,-3250.0,21,20250407-010924
166,kein_Terminated,Zeit abgelaufen,0.24,188,-8964.0,21,20250407-010943
2,kein_Terminated,Zeit abgelaufen,0.14,440,-21988.0,21,20250407-011006
167,kein_Terminated,Zeit abgelaufen,0.18,304,-12464.0,21,20250407-011020
168,kein_Terminated,Zeit abgelaufen,0.14,9,538.0,21,20250407-011039
169,kein_Terminated,Zeit abgelaufen,0.23,131,-6698.0,21,20250407-011058
170,kein_Terminated,Zeit abgelaufen,0.21,26,174.0,21,20250407-011116
