DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,20,8,4,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
67,kein_Terminated,Zeit abgelaufen,0.36,59,-1201.75,300.5,5,7,20250414-063751
68,kein_Terminated,Zeit abgelaufen,0.33,95,-5184.75,300.5,5,7,20250414-063801
69,kein_Terminated,Zeit abgelaufen,0.28,33,361.75,300.5,5,5,20250414-063812
70,kein_Terminated,Zeit abgelaufen,0.24,91,-6033.75,300.5,8,2,20250414-063823
71,kein_Terminated,Zeit abgelaufen,0.3,81,-4270.25,300.5,8,2,20250414-063834
72,kein_Terminated,Zeit abgelaufen,0.27,101,-6649.25,300.5,8,6,20250414-063845
73,kein_Terminated,Zeit abgelaufen,0.33,135,-9230.75,300.5,8,6,20250414-063856
74,kein_Terminated,Zeit abgelaufen,0.28,55,-1818.75,300.5,8,4,20250414-063907
75,kein_Terminated,Zeit abgelaufen,0.28,134,-9810.0,300.5,8,4,20250414-063918
76,kein_Terminated,Zeit abgelaufen,0.33,80,-3745.5,300.5,8,4,20250414-063929
77,kein_Terminated,Zeit abgelaufen,0.35,83,-3779.75,300.5,8,0,20250414-063940
78,kein_Terminated,Zeit abgelaufen,0.3,73,-3448.25,300.5,8,0,20250414-063951
79,kein_Terminated,Zeit abgelaufen,0.25,117,-8517.25,300.5,8,2,20250414-064002
80,kein_Terminated,Zeit abgelaufen,0.34,64,-2013.5,300.5,8,2,20250414-064012
81,kein_Terminated,Zeit abgelaufen,0.16,215,-19546.75,300.5,8,8,20250414-064023
82,kein_Terminated,Zeit abgelaufen,0.22,91,-6277.75,300.5,8,8,20250414-064034
83,kein_Terminated,Zeit abgelaufen,0.31,84,-4360.5,300.5,8,2,20250414-064045
1,kein_Terminated,Zeit abgelaufen,0.06,46,-3788.0,300.5,0,9,20250414-064059
84,kein_Terminated,Zeit abgelaufen,0.12,53,-3825.25,300.5,15,7,20250414-064107
85,kein_Terminated,Zeit abgelaufen,0.15,215,-19758.75,300.5,15,7,20250414-064119
86,kein_Terminated,Zeit abgelaufen,0.12,154,-13881.0,300.5,15,1,20250414-064132
87,kein_Terminated,Zeit abgelaufen,0.3,91,-5341.75,300.5,15,1,20250414-064143
88,kein_Terminated,Zeit abgelaufen,0.14,144,-12733.5,300.5,15,4,20250414-064155
89,kein_Terminated,Zeit abgelaufen,0.28,127,-9252.75,300.5,15,4,20250414-064207
90,kein_Terminated,Zeit abgelaufen,0.28,187,-15269.75,300.5,15,5,20250414-064219
91,kein_Terminated,Zeit abgelaufen,0.34,82,-3815.0,300.5,5,3,20250414-064230
92,kein_Terminated,Zeit abgelaufen,0.12,123,-10781.75,300.5,5,3,20250414-064240
93,kein_Terminated,Zeit abgelaufen,0.36,68,-2096.5,300.5,5,8,20250414-064250
94,kein_Terminated,Zeit abgelaufen,0.26,89,-5484.25,300.5,5,8,20250414-064300
95,kein_Terminated,Zeit abgelaufen,0.32,81,-3894.25,300.5,5,3,20250414-064311
96,kein_Terminated,Zeit abgelaufen,0.28,45,-859.25,300.5,5,3,20250414-064321
97,kein_Terminated,Zeit abgelaufen,0.28,42,-489.0,300.5,5,2,20250414-064332
98,kein_Terminated,Zeit abgelaufen,0.21,95,-6716.75,300.5,5,3,20250414-064342
99,kein_Terminated,Zeit abgelaufen,0.28,55,-1842.75,300.5,5,3,20250414-064352
100,kein_Terminated,Zeit abgelaufen,0.32,90,-4845.0,300.5,5,4,20250414-064402
101,kein_Terminated,Zeit abgelaufen,0.39,63,-1144.75,300.5,5,4,20250414-064413
102,kein_Terminated,Zeit abgelaufen,0.23,105,-7480.25,300.5,5,4,20250414-064423
103,kein_Terminated,Zeit abgelaufen,0.3,62,-2292.0,300.5,5,4,20250414-064434
104,kein_Terminated,Zeit abgelaufen,0.29,144,-10669.5,300.5,5,3,20250414-064444
105,kein_Terminated,Zeit abgelaufen,0.28,79,-4320.75,300.5,8,8,20250414-064455
106,kein_Terminated,Zeit abgelaufen,0.23,76,-4622.5,300.5,8,8,20250414-064506
107,kein_Terminated,Zeit abgelaufen,0.28,56,-1959.5,300.5,8,7,20250414-064518
108,kein_Terminated,Zeit abgelaufen,0.23,83,-5399.75,300.5,8,7,20250414-064529
109,kein_Terminated,Zeit abgelaufen,0.34,109,-6551.25,300.5,8,4,20250414-064540
110,kein_Terminated,Zeit abgelaufen,0.32,87,-4546.75,300.5,8,4,20250414-064551
111,kein_Terminated,Zeit abgelaufen,0.27,93,-5855.25,300.5,8,5,20250414-064602
112,kein_Terminated,Zeit abgelaufen,0.16,226,-20743.0,300.5,15,8,20250414-064615
113,kein_Terminated,Zeit abgelaufen,0.31,183,-14462.75,300.5,15,8,20250414-064627
114,kein_Terminated,Zeit abgelaufen,0.25,90,-5797.0,300.5,15,5,20250414-064639
115,kein_Terminated,Zeit abgelaufen,0.33,164,-12328.5,300.5,15,5,20250414-064651
116,kein_Terminated,Zeit abgelaufen,0.18,82,-5935.0,300.5,15,2,20250414-064703
117,kein_Terminated,Zeit abgelaufen,0.23,51,-2171.75,300.5,15,2,20250414-064715
118,kein_Terminated,Zeit abgelaufen,0.15,344,-32751.5,300.5,15,9,20250414-064728
119,kein_Terminated,Zeit abgelaufen,0.35,46,-372.0,300.5,26,9,20250414-064743
120,kein_Terminated,Zeit abgelaufen,0.35,49,-690.25,300.5,26,9,20250414-064758
121,kein_Terminated,Zeit abgelaufen,0.24,77,-4915.25,300.5,26,0,20250414-064813
122,kein_Terminated,Zeit abgelaufen,0.34,47,-596.75,300.5,26,0,20250414-064828
123,kein_Terminated,Zeit abgelaufen,0.35,86,-4462.0,300.5,26,1,20250414-064843
124,kein_Terminated,Zeit abgelaufen,0.31,59,-2249.75,300.5,26,1,20250414-064858
125,kein_Terminated,Zeit abgelaufen,0.2,67,-4315.75,300.5,26,5,20250414-064913
126,kein_Terminated,Zeit abgelaufen,0.3,52,-1304.5,300.5,0,8,20250414-064924
127,kein_Terminated,Zeit abgelaufen,0.15,30,-992.0,300.5,0,8,20250414-064934
128,kein_Terminated,Zeit abgelaufen,0.3,45,-571.25,300.5,0,1,20250414-064945
129,kein_Terminated,Zeit abgelaufen,0.48,50,1233.0,300.5,0,1,20250414-064955
130,kein_Terminated,Zeit abgelaufen,0.14,83,-6547.75,300.5,0,2,20250414-065006
131,kein_Terminated,Zeit abgelaufen,0.12,36,-2072.5,300.5,0,2,20250414-065016
132,kein_Terminated,Zeit abgelaufen,0.38,93,-4407.25,300.5,0,2,20250414-065027
133,kein_Terminated,Zeit abgelaufen,0.15,57,-3796.25,300.5,0,0,20250414-065037
134,kein_Terminated,Zeit abgelaufen,0.47,94,-3364.0,300.5,0,0,20250414-065048
135,kein_Terminated,Zeit abgelaufen,0.14,46,-2712.0,300.5,0,8,20250414-065058
136,kein_Terminated,Zeit abgelaufen,0.21,56,-2807.5,300.5,0,8,20250414-065109
137,kein_Terminated,Zeit abgelaufen,0.47,38,2374.0,300.5,0,3,20250414-065120
138,kein_Terminated,Zeit abgelaufen,0.38,195,-14603.75,300.5,0,3,20250414-065130
139,kein_Terminated,Zeit abgelaufen,0.24,92,-6166.5,300.5,0,3,20250414-065141
140,kein_Terminated,Zeit abgelaufen,0.24,34,-203.0,300.5,5,2,20250414-065151
141,kein_Terminated,Zeit abgelaufen,0.31,37,398.75,300.5,5,2,20250414-065201
142,kein_Terminated,Zeit abgelaufen,0.49,124,-6050.5,300.5,5,1,20250414-065212
143,kein_Terminated,Zeit abgelaufen,0.27,221,-18735.25,300.5,5,1,20250414-065222
144,kein_Terminated,Zeit abgelaufen,0.42,302,-24888.0,300.5,5,7,20250414-065233
145,kein_Terminated,Zeit abgelaufen,0.24,49,-1706.25,300.5,5,7,20250414-065243
146,kein_Terminated,Zeit abgelaufen,0.34,108,-6326.5,300.5,5,2,20250414-065254
147,kein_Terminated,Zeit abgelaufen,0.41,126,-7248.0,300.5,5,7,20250414-065304
148,kein_Terminated,Zeit abgelaufen,0.38,41,835.75,300.5,5,7,20250414-065315
149,kein_Terminated,Zeit abgelaufen,0.22,47,-1756.75,300.5,5,1,20250414-065325
150,kein_Terminated,Zeit abgelaufen,0.48,146,-8359.0,300.5,5,1,20250414-065336
151,kein_Terminated,Zeit abgelaufen,0.3,80,-4141.5,300.5,5,9,20250414-065346
152,kein_Terminated,Zeit abgelaufen,0.37,55,-586.75,300.5,5,9,20250414-065357
153,kein_Terminated,Zeit abgelaufen,0.48,115,-5247.75,300.5,5,0,20250414-065407
154,kein_Terminated,Zeit abgelaufen,0.19,30,-548.0,300.5,15,4,20250414-065419
155,kein_Terminated,Zeit abgelaufen,0.32,82,-4159.0,300.5,15,4,20250414-065431
156,kein_Terminated,Zeit abgelaufen,0.35,134,-8962.0,300.5,15,8,20250414-065444
157,kein_Terminated,Zeit abgelaufen,0.24,127,-9704.75,300.5,15,8,20250414-065455
158,kein_Terminated,Zeit abgelaufen,0.22,132,-10448.5,300.5,15,1,20250414-065507
159,kein_Terminated,Zeit abgelaufen,0.1,241,-22906.25,300.5,15,1,20250414-065519
160,kein_Terminated,Zeit abgelaufen,0.19,143,-11896.75,300.5,15,9,20250414-065531
161,kein_Terminated,Zeit abgelaufen,0.49,66,-315.0,300.5,8,6,20250414-065542
162,kein_Terminated,Zeit abgelaufen,0.29,86,-4906.0,300.5,8,6,20250414-065553
163,kein_Terminated,Zeit abgelaufen,0.21,362,-33693.0,300.5,8,6,20250414-065605
164,kein_Terminated,Zeit abgelaufen,0.26,159,-12612.75,300.5,8,6,20250414-065616
165,kein_Terminated,Zeit abgelaufen,0.22,44,-1534.5,300.5,8,6,20250414-065627
166,kein_Terminated,Zeit abgelaufen,0.39,67,-1723.75,300.5,8,6,20250414-065638
2,kein_Terminated,Zeit abgelaufen,0.01,0,230.5,300.5,0,1,20250414-065652
167,kein_Terminated,Zeit abgelaufen,0.27,144,-11021.5,300.5,8,2,20250414-065700
168,kein_Terminated,Zeit abgelaufen,0.4,86,-3402.0,300.5,5,8,20250414-065710
169,kein_Terminated,Zeit abgelaufen,0.16,157,-13614.5,300.5,5,8,20250414-065721
170,kein_Terminated,Zeit abgelaufen,0.35,243,-19847.75,300.5,5,8,20250414-065732
171,kein_Terminated,Zeit abgelaufen,0.37,179,-13171.75,300.5,5,8,20250414-065742
172,kein_Terminated,Zeit abgelaufen,0.23,39,-826.75,300.5,5,7,20250414-065753
173,kein_Terminated,Zeit abgelaufen,0.26,77,-4291.25,300.5,5,7,20250414-065803
174,kein_Terminated,Zeit abgelaufen,0.44,153,-9576.25,300.5,5,1,20250414-065814
175,kein_Terminated,Zeit abgelaufen,0.06,104,-9595.5,300.5,8,2,20250414-065825
176,kein_Terminated,Zeit abgelaufen,0.24,251,-22149.75,300.5,8,2,20250414-065837
177,kein_Terminated,Zeit abgelaufen,0.31,132,-9308.5,300.5,8,5,20250414-065848
178,kein_Terminated,Zeit abgelaufen,0.21,17,1077.75,300.5,8,5,20250414-065859
179,kein_Terminated,Zeit abgelaufen,0.17,25,-324.25,300.5,8,4,20250414-065910
180,kein_Terminated,Zeit abgelaufen,0.17,21,150.75,300.5,8,4,20250414-065921
181,kein_Terminated,Zeit abgelaufen,0.11,16,-105.5,300.5,8,8,20250414-065932
182,kein_Terminated,Zeit abgelaufen,0.35,54,-786.0,300.5,0,1,20250414-065943
183,kein_Terminated,Zeit abgelaufen,0.26,47,-1284.75,300.5,0,1,20250414-065953
184,kein_Terminated,Zeit abgelaufen,0.27,121,-8592.25,300.5,0,1,20250414-070004
185,kein_Terminated,Zeit abgelaufen,0.44,46,1092.0,300.5,0,1,20250414-070014
186,kein_Terminated,Zeit abgelaufen,0.24,258,-22863.0,300.5,0,2,20250414-070025
187,kein_Terminated,Zeit abgelaufen,0.21,47,-1932.75,300.5,0,2,20250414-070036
188,kein_Terminated,Zeit abgelaufen,0.17,25,-288.25,300.5,0,9,20250414-070046
189,kein_Terminated,Zeit abgelaufen,0.45,56,248.5,300.5,0,0,20250414-070057
190,kein_Terminated,Zeit abgelaufen,0.44,61,-411.25,300.5,0,0,20250414-070107
191,kein_Terminated,Zeit abgelaufen,0.26,46,-1228.0,300.5,0,8,20250414-070118
192,kein_Terminated,Zeit abgelaufen,0.43,90,-3453.0,300.5,0,8,20250414-070129
193,kein_Terminated,Zeit abgelaufen,0.21,142,-11504.0,300.5,0,1,20250414-070139
194,kein_Terminated,Zeit abgelaufen,0.18,228,-20632.5,300.5,0,1,20250414-070150
195,kein_Terminated,Zeit abgelaufen,0.35,22,2322.0,300.5,0,2,20250414-070201
196,kein_Terminated,Zeit abgelaufen,0.32,74,-3245.0,300.5,8,5,20250414-070212
197,kein_Terminated,Zeit abgelaufen,0.12,62,-4584.0,300.5,8,5,20250414-070223
198,kein_Terminated,Zeit abgelaufen,0.26,72,-3871.5,300.5,8,7,20250414-070235
199,kein_Terminated,Zeit abgelaufen,0.44,125,-6867.25,300.5,8,7,20250414-070246
200,kein_Terminated,Zeit abgelaufen,0.41,44,905.5,300.5,8,1,20250414-070257
201,kein_Terminated,Zeit abgelaufen,0.27,23,1165.25,300.5,8,1,20250414-070308
202,kein_Terminated,Zeit abgelaufen,0.37,134,-8634.0,300.5,8,6,20250414-070320
203,kein_Terminated,Zeit abgelaufen,0.38,140,-9126.5,300.5,8,9,20250414-070331
204,kein_Terminated,Zeit abgelaufen,0.18,37,-1333.25,300.5,8,9,20250414-070342
205,kein_Terminated,Zeit abgelaufen,0.29,44,-578.5,300.5,8,1,20250414-070353
206,kein_Terminated,Zeit abgelaufen,0.24,33,-61.5,300.5,8,1,20250414-070404
207,kein_Terminated,Zeit abgelaufen,0.33,291,-25035.75,300.5,8,7,20250414-070416
208,kein_Terminated,Zeit abgelaufen,0.34,75,-3173.75,300.5,8,7,20250414-070427
209,kein_Terminated,Zeit abgelaufen,0.22,31,-236.75,300.5,8,7,20250414-070438
210,kein_Terminated,Zeit abgelaufen,0.41,44,981.5,300.5,0,0,20250414-070449
211,kein_Terminated,Zeit abgelaufen,0.46,186,-12685.0,300.5,0,0,20250414-070500
212,kein_Terminated,Zeit abgelaufen,0.34,23,2133.25,300.5,0,1,20250414-070510
213,kein_Terminated,Zeit abgelaufen,0.24,100,-6952.5,300.5,0,1,20250414-070521
214,kein_Terminated,Zeit abgelaufen,0.3,33,557.75,300.5,0,7,20250414-070532
215,kein_Terminated,Zeit abgelaufen,0.57,52,2199.5,300.5,0,7,20250414-070542
216,kein_Terminated,Zeit abgelaufen,0.45,99,-4019.75,300.5,0,3,20250414-070553
217,kein_Terminated,Zeit abgelaufen,0.33,93,-5107.25,300.5,8,9,20250414-070604
218,kein_Terminated,Zeit abgelaufen,0.4,42,1011.0,300.5,8,9,20250414-070615
219,kein_Terminated,Zeit abgelaufen,0.25,79,-4700.75,300.5,8,0,20250414-070627
220,kein_Terminated,Zeit abgelaufen,0.28,250,-21545.0,300.5,8,0,20250414-070638
221,kein_Terminated,Zeit abgelaufen,0.24,114,-8355.0,300.5,8,0,20250414-070650
222,kein_Terminated,Zeit abgelaufen,0.35,116,-7052.5,300.5,8,0,20250414-070701
223,kein_Terminated,Zeit abgelaufen,0.44,53,354.75,300.5,8,5,20250414-070712
224,kein_Terminated,Zeit abgelaufen,0.4,23,2837.25,300.5,8,8,20250414-070723
225,kein_Terminated,Zeit abgelaufen,0.17,84,-6216.5,300.5,8,8,20250414-070734
226,kein_Terminated,Zeit abgelaufen,0.37,19,2896.25,300.5,8,2,20250414-070745
227,kein_Terminated,Zeit abgelaufen,0.43,132,-7696.5,300.5,8,2,20250414-070756
228,kein_Terminated,Zeit abgelaufen,0.55,73,-224.25,300.5,8,0,20250414-070807
229,kein_Terminated,Zeit abgelaufen,0.32,287,-24716.75,300.5,8,0,20250414-070819
230,kein_Terminated,Zeit abgelaufen,0.26,55,-2118.75,300.5,8,1,20250414-070830
231,kein_Terminated,Zeit abgelaufen,0.36,54,-714.0,300.5,8,1,20250414-070842
232,kein_Terminated,Zeit abgelaufen,0.36,61,-1431.25,300.5,8,1,20250414-070853
233,kein_Terminated,Zeit abgelaufen,0.3,44,-510.5,300.5,8,4,20250414-070905
