DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_NUMBER_LAST_ACTIONS
2,300,2,-0.5,50000.0,1,172800,99999999999999,20,100,50,2,300,10,0.5,5,-1000,0.15,0.25,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Uhrzeit Welt
0,Zu nah an der Wand,kein_Truncared,0.02,10,-923.5,5.0,21,20250408-182523
0,Zu nah an der Wand,kein_Truncared,0.03,13,-869.5,17.0,21,20250408-182553
0,Zu nah an der Wand,kein_Truncared,0.02,2,-952.0,3.5,21,20250408-182623
0,Zu nah an der Wand,kein_Truncared,0.03,18,-889.5,13.0,21,20250408-182656
0,Zu nah an der Wand,kein_Truncared,0.04,9,-802.0,21.5,21,20250408-182729
0,Zu nah an der Wand,kein_Truncared,0.02,7,-898.0,7.5,21,20250408-182802
0,Zu nah an der Wand,kein_Truncared,0.03,11,-857.0,10.5,21,20250408-182833
0,Zu nah an der Wand,kein_Truncared,0.12,6,-305.5,57.0,21,20250408-182906
0,Zu nah an der Wand,kein_Truncared,0.02,6,-951.0,2.5,21,20250408-182936
0,Zu nah an der Wand,kein_Truncared,0.06,8,-666.0,21.5,21,20250408-183006
0,Zu nah an der Wand,kein_Truncared,0.04,1,-780.5,14.0,21,20250408-183039
0,Zu nah an der Wand,kein_Truncared,0.01,5,-956.5,2.0,21,20250408-183113
0,Zu nah an der Wand,kein_Truncared,0.04,4,-802.5,10.0,21,20250408-183141
0,Zu nah an der Wand,kein_Truncared,0.04,3,-796.5,16.0,21,20250408-183211
0,Zu nah an der Wand,kein_Truncared,0.01,2,-981.0,0.5,21,20250408-183243
0,Zu nah an der Wand,kein_Truncared,0.02,4,-936.5,4.0,21,20250408-183312
0,Zu nah an der Wand,kein_Truncared,0.06,10,-697.0,18.5,21,20250408-183346
0,Zu nah an der Wand,kein_Truncared,0.04,7,-811.5,9.0,21,20250408-183419
0,Zu nah an der Wand,kein_Truncared,0.01,3,-964.0,1.5,21,20250408-183449
0,Zu nah an der Wand,kein_Truncared,0.03,4,-852.0,9.5,21,20250408-183521
0,Zu nah an der Wand,kein_Truncared,0.09,2,-456.5,34.0,21,20250408-183554
0,Zu nah an der Wand,kein_Truncared,0.03,1,-860.0,11.5,21,20250408-183629
0,Zu nah an der Wand,kein_Truncared,0.01,1,-973.5,1.0,21,20250408-183702
0,Zu nah an der Wand,kein_Truncared,0.07,2,-594.5,24.0,21,20250408-183735
0,Zu nah an der Wand,kein_Truncared,0.17,11,-9.5,77.0,21,20250408-183810
0,Zu nah an der Wand,kein_Truncared,0.08,4,-559.0,34.5,21,20250408-183842
0,Zu nah an der Wand,kein_Truncared,0.01,1,-973.5,1.0,21,20250408-183911
0,Zu nah an der Wand,kein_Truncared,0.05,3,-714.0,15.5,21,20250408-183942
0,Zu nah an der Wand,kein_Truncared,0.01,1,-953.0,2.5,21,20250408-184014
0,Zu nah an der Wand,kein_Truncared,0.07,3,-627.5,23.0,21,20250408-184048
0,Zu nah an der Wand,kein_Truncared,0.1,2,-428.5,50.0,21,20250408-184123
0,Zu nah an der Wand,kein_Truncared,0.11,2,-389.0,42.5,21,20250408-184149
0,Zu nah an der Wand,kein_Truncared,0.08,3,-535.5,23.0,21,20250408-184222
0,Zu nah an der Wand,kein_Truncared,0.08,4,-523.5,39.0,21,20250408-184251
0,Zu nah an der Wand,kein_Truncared,0.09,2,-499.5,25.0,21,20250408-184321
0,Zu nah an der Wand,kein_Truncared,0.01,1,-964.0,1.5,21,20250408-184352
0,Zu nah an der Wand,kein_Truncared,0.08,8,-559.5,27.0,21,20250408-184426
0,Zu nah an der Wand,kein_Truncared,0.12,9,-334.5,52.0,21,20250408-184501
0,Zu nah an der Wand,kein_Truncared,0.08,3,-537.5,29.0,21,20250408-184532
0,Zu nah an der Wand,kein_Truncared,0.12,2,-296.0,63.5,21,20250408-184608
0,Zu nah an der Wand,kein_Truncared,0.01,1,-964.0,1.5,21,20250408-184637
0,Zu nah an der Wand,kein_Truncared,0.01,1,-953.0,2.5,21,20250408-184710
0,Zu nah an der Wand,kein_Truncared,0.04,6,-771.0,12.5,21,20250408-184740
0,Zu nah an der Wand,kein_Truncared,0.04,6,-783.5,11.0,21,20250408-184807
0,Zu nah an der Wand,kein_Truncared,0.05,3,-748.0,15.5,21,20250408-184841
0,Zu nah an der Wand,kein_Truncared,0.04,2,-790.0,13.5,21,20250408-184911
0,Zu nah an der Wand,kein_Truncared,0.04,4,-806.0,11.5,21,20250408-184944
0,Zu nah an der Wand,kein_Truncared,0.05,3,-758.5,12.0,21,20250408-185018
0,Zu nah an der Wand,kein_Truncared,0.04,4,-800.5,14.0,21,20250408-185049
0,Zu nah an der Wand,kein_Truncared,0.08,4,-561.0,30.5,21,20250408-185122
0,Zu nah an der Wand,kein_Truncared,0.04,1,-822.5,8.0,21,20250408-185153
0,Zu nah an der Wand,kein_Truncared,0.05,3,-709.0,16.5,21,20250408-185223
0,Zu nah an der Wand,kein_Truncared,0.05,2,-751.5,15.0,21,20250408-185253
0,Zu nah an der Wand,kein_Truncared,0.02,9,-943.0,4.5,21,20250408-185323
0,Zu nah an der Wand,kein_Truncared,0.01,2,-991.0,0.5,21,20250408-185351
0,Zu nah an der Wand,kein_Truncared,0.02,10,-894.0,7.5,21,20250408-185424
0,Zu nah an der Wand,kein_Truncared,0.01,5,-974.5,2.0,21,20250408-185452
0,Zu nah an der Wand,kein_Truncared,0.01,2,-983.0,0.5,21,20250408-185521
0,Zu nah an der Wand,kein_Truncared,0.08,12,-580.0,31.5,21,20250408-185554
0,Zu nah an der Wand,kein_Truncared,0.12,18,-309.5,49.0,21,20250408-185627
0,Zu nah an der Wand,kein_Truncared,0.01,2,-985.0,0.5,21,20250408-185649
0,Zu nah an der Wand,kein_Truncared,0.01,2,-991.0,0.5,21,20250408-185716
0,Zu nah an der Wand,kein_Truncared,0.01,2,-983.0,0.5,21,20250408-185744
0,Zu nah an der Wand,kein_Truncared,0.01,2,-991.0,0.5,21,20250408-185812
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-185840
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-185900
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-185932
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-190002
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-190032
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-190103
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-190133
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-190206
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-190238
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-190313
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1010.5,0.0,21,20250408-190340
0,Zu nah an der Wand,kein_Truncared,0.01,2,-991.0,0.5,21,20250408-190412
0,Zu nah an der Wand,kein_Truncared,0.01,2,-991.0,0.5,21,20250408-190445
0,Zu nah an der Wand,kein_Truncared,0.01,2,-991.0,0.5,21,20250408-190516
