DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,0.7,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
122,kein_Terminated,Zeit abgelaufen,0.11,29,920.9000000000211,300.5,24,2,20250410-214128
123,kein_Terminated,Zeit abgelaufen,0.1,20,346.09999999999644,300.5,24,2,20250410-214224
124,kein_Terminated,Zeit abgelaufen,0.1,17,772.9000000000196,300.5,24,2,20250410-214318
125,kein_Terminated,Zeit abgelaufen,0.1,23,792.9000000000236,300.5,24,2,20250410-214414
126,kein_Terminated,Zeit abgelaufen,0.09,11,1208.400000000025,300.5,24,2,20250410-214508
127,kein_Terminated,Zeit abgelaufen,0.1,13,1328.4000000000258,300.5,24,2,20250410-214604
128,kein_Terminated,Zeit abgelaufen,0.15,35,1223.5000000000193,300.5,24,7,20250410-214657
129,kein_Terminated,Zeit abgelaufen,0.16,31,1214.8000000000197,300.5,24,7,20250410-214755
130,kein_Terminated,Zeit abgelaufen,0.16,23,1086.1000000000208,300.5,24,7,20250410-214847
131,kein_Terminated,Zeit abgelaufen,0.15,25,1525.6000000000238,300.5,24,7,20250410-214938
132,kein_Terminated,Zeit abgelaufen,0.14,24,837.4000000000206,300.5,24,7,20250410-215033
133,kein_Terminated,Zeit abgelaufen,0.14,23,745.400000000021,300.5,23,7,20250410-215126
134,kein_Terminated,Zeit abgelaufen,0.15,15,1663.000000000025,300.5,23,7,20250410-215220
135,kein_Terminated,Zeit abgelaufen,0.14,44,644.0000000000236,300.5,23,7,20250410-215313
136,kein_Terminated,Zeit abgelaufen,0.14,72,-1208.5999999999835,300.5,23,7,20250410-215409
137,kein_Terminated,Zeit abgelaufen,0.13,396,-28042.09999999987,300.5,23,7,20250410-215502
