DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step
2,300,2,-1,50000.0,1,100000.0,99999,20,100,50,2,300,1,1,0.01

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number
142,kein_Terminated,Zeit abgelaufen,0.44,180,1279.8751433607374,21
143,kein_Terminated,Zeit abgelaufen,0.34,395,-165.00386226615015,21
144,kein_Terminated,Zeit abgelaufen,0.54,268,1248.8119783939344,21
145,kein_Terminated,Zeit abgelaufen,0.34,130,1315.8475300068974,21
146,kein_Terminated,Zeit abgelaufen,0.17,475,-2123.088559533279,21
147,kein_Terminated,Zeit abgelaufen,0.38,393,-491.5763733304219,21
148,kein_Terminated,Zeit abgelaufen,0.62,387,186.24145723342218,21
149,kein_Terminated,Zeit abgelaufen,0.1,396,-1042.7429667202107,21
150,kein_Terminated,Zeit abgelaufen,0.57,165,2252.523902452172,21
151,kein_Terminated,Zeit abgelaufen,0.39,327,-937.4446354489681,21
152,kein_Terminated,Zeit abgelaufen,0.26,463,-3075.764945008113,21
153,kein_Terminated,Zeit abgelaufen,0.38,189,548.4834919392458,21
154,kein_Terminated,Zeit abgelaufen,0.59,248,1641.6138848895678,21
155,kein_Terminated,Zeit abgelaufen,0.68,189,2561.6187027350547,21
156,kein_Terminated,Zeit abgelaufen,0.42,137,1289.6481410326057,21
157,kein_Terminated,Zeit abgelaufen,0.51,90,2376.8382393370584,21
158,kein_Terminated,Zeit abgelaufen,0.65,199,2290.535180978474,21
159,kein_Terminated,Zeit abgelaufen,0.42,189,1083.2322761314758,21
160,kein_Terminated,Zeit abgelaufen,0.26,249,-497.6156715063668,21
161,kein_Terminated,Zeit abgelaufen,0.41,317,-366.89645326975574,21
162,kein_Terminated,Zeit abgelaufen,0.24,107,551.0375485080614,21
163,kein_Terminated,Zeit abgelaufen,0.56,126,2559.8683107286674,21
164,kein_Terminated,Zeit abgelaufen,0.54,169,2001.609200154181,21
165,kein_Terminated,Zeit abgelaufen,0.41,68,1811.1653557746095,21
166,kein_Terminated,Zeit abgelaufen,0.51,200,1718.984506396421,21
2,kein_Terminated,Zeit abgelaufen,0.43,119,1536.2760899401303,21
