DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Beste_Modelle/M2_R6_O4_A2_TR1_T1_20250411-114143/save-04.11.2025_11.41.43/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-004900

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
74,kein_Terminated,Zeit abgelaufen,0.15,130,356,300.5,26,3,20250423-080829
75,kein_Terminated,Zeit abgelaufen,0.14,129,322,300.5,26,3,20250423-080847
76,kein_Terminated,Zeit abgelaufen,0.25,96,1956,300.5,26,5,20250423-080906
77,kein_Terminated,Zeit abgelaufen,0.17,57,1534,300.5,8,3,20250423-080921
78,kein_Terminated,Zeit abgelaufen,0.15,103,766,300.5,8,3,20250423-080935
79,kein_Terminated,Zeit abgelaufen,0.21,127,1322,300.5,8,0,20250423-080950
80,kein_Terminated,Zeit abgelaufen,0.1,175,-614,300.5,8,0,20250423-081003
81,kein_Terminated,Zeit abgelaufen,0.17,64,1396,300.5,8,4,20250423-081018
82,kein_Terminated,Zeit abgelaufen,0.24,45,2510,300.5,8,4,20250423-081033
83,kein_Terminated,Zeit abgelaufen,0.26,63,2626,300.5,8,5,20250423-081048
1,kein_Terminated,Zeit abgelaufen,0.09,1,1042,300.5,0,8,20250423-081105
84,kein_Terminated,Zeit abgelaufen,0.23,8,2772,300.5,5,7,20250423-081117
85,kein_Terminated,Zeit abgelaufen,0.19,4,2364,300.5,5,7,20250423-081131
86,kein_Terminated,Zeit abgelaufen,0.23,28,2664,300.5,5,7,20250423-081146
87,kein_Terminated,Zeit abgelaufen,0.21,60,2096,300.5,5,7,20250423-081200
88,kein_Terminated,Zeit abgelaufen,0.12,3,1418,300.5,5,8,20250423-081215
89,kein_Terminated,Zeit abgelaufen,0.17,61,1526,300.5,5,8,20250423-081230
90,kein_Terminated,Zeit abgelaufen,0.27,42,3056,300.5,5,7,20250423-081244
91,kein_Terminated,Zeit abgelaufen,0.19,45,1918,300.5,5,3,20250423-081259
92,kein_Terminated,Zeit abgelaufen,0.15,5,1854,300.5,5,3,20250423-081314
93,kein_Terminated,Zeit abgelaufen,0.19,4,2404,300.5,5,5,20250423-081328
94,kein_Terminated,Zeit abgelaufen,0.25,30,2940,300.5,5,5,20250423-081343
95,kein_Terminated,Zeit abgelaufen,0.18,160,660,300.5,5,3,20250423-081358
96,kein_Terminated,Zeit abgelaufen,0.17,37,1822,300.5,5,3,20250423-081413
97,kein_Terminated,Zeit abgelaufen,0.16,22,1788,300.5,5,9,20250423-081428
98,kein_Terminated,Zeit abgelaufen,0.17,202,-48,300.5,26,6,20250423-081447
99,kein_Terminated,Zeit abgelaufen,0.2,110,1196,300.5,26,6,20250423-081507
100,kein_Terminated,Zeit abgelaufen,0.18,86,1120,300.5,26,9,20250423-081525
101,kein_Terminated,Zeit abgelaufen,0.18,150,508,300.5,26,9,20250423-081544
102,kein_Terminated,Zeit abgelaufen,0.21,60,1748,300.5,26,6,20250423-081603
