DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,20,4,FALSE,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,,
334,kein_Terminated,Zeit abgelaufen,0.14,25,-692.25,300.5,15,7,20250415-013709,,,,,,,,,,,,,,,,,,,
335,kein_Terminated,Zeit abgelaufen,0.33,254,-21304,300.5,15,1,20250415-013724,,,,,,,,,,,,,,,,,,,
336,kein_Terminated,Zeit abgelaufen,0.15,56,-3731.5,300.5,15,0,20250415-013738,,,,,,,,,,,,,,,,,,,
337,kein_Terminated,Zeit abgelaufen,0.19,312,-29003.5,300.5,15,0,20250415-013752,,,,,,,,,,,,,,,,,,,
338,kein_Terminated,Zeit abgelaufen,0.17,12,1057.5,300.5,15,3,20250415-013807,,,,,,,,,,,,,,,,,,,
339,kein_Terminated,Zeit abgelaufen,0.18,10,1379,300.5,15,3,20250415-013822,,,,,,,,,,,,,,,,,,,
340,kein_Terminated,Zeit abgelaufen,0.23,259,-23179.75,300.5,15,5,20250415-013837,,,,,,,,,,,,,,,,,,,
341,kein_Terminated,Zeit abgelaufen,0.46,146,-8823,300.5,15,5,20250415-013853,,,,,,,,,,,,,,,,,,,
342,kein_Terminated,Zeit abgelaufen,0.3,360,-32471.5,300.5,15,0,20250415-013908,,,,,,,,,,,,,,,,,,,
343,kein_Terminated,Zeit abgelaufen,0.4,30,1736,300.5,26,1,20250415-013927,,,,,,,,,,,,,,,,,,,
344,kein_Terminated,Zeit abgelaufen,0.45,8,4616.5,300.5,26,1,20250415-013946,,,,,,,,,,,,,,,,,,,
345,kein_Terminated,Zeit abgelaufen,0.37,34,1013,300.5,26,1,20250415-014004,,,,,,,,,,,,,,,,,,,
346,kein_Terminated,Zeit abgelaufen,0.39,7,3949.25,300.5,26,1,20250415-014022,,,,,,,,,,,,,,,,,,,
347,kein_Terminated,Zeit abgelaufen,0.33,19,2112.25,300.5,26,4,20250415-014041,,,,,,,,,,,,,,,,,,,
348,kein_Terminated,Zeit abgelaufen,0.18,17,485.75,300.5,26,4,20250415-014059,,,,,,,,,,,,,,,,,,,
349,kein_Terminated,Zeit abgelaufen,0.19,0,2350.5,300.5,26,7,20250415-014118,,,,,,,,,,,,,,,,,,,
350,kein_Terminated,Zeit abgelaufen,0.45,296,-23811.5,300.5,5,4,20250415-014133,,,,,,,,,,,,,,,,,,,
351,kein_Terminated,Zeit abgelaufen,0.5,19,4748.25,300.5,5,4,20250415-014147,,,,,,,,,,,,,,,,,,,
352,kein_Terminated,Zeit abgelaufen,0.44,229,-17261.25,300.5,5,0,20250415-014202,,,,,,,,,,,,,,,,,,,
353,kein_Terminated,Zeit abgelaufen,0.59,6,7142,300.5,5,0,20250415-014216,,,,,,,,,,,,,,,,,,,
354,kein_Terminated,Zeit abgelaufen,0.39,68,-1648.5,300.5,5,7,20250415-014231,,,,,,,,,,,,,,,,,,,
355,kein_Terminated,Zeit abgelaufen,0.59,50,2805,300.5,5,7,20250415-014245,,,,,,,,,,,,,,,,,,,
356,kein_Terminated,Zeit abgelaufen,0.51,35,3252.25,300.5,5,1,20250415-014300,,,,,,,,,,,,,,,,,,,
357,kein_Terminated,Zeit abgelaufen,0.5,15,5059.25,300.5,5,4,20250415-014314,,,,,,,,,,,,,,,,,,,
358,kein_Terminated,Zeit abgelaufen,0.61,137,-5816.25,300.5,5,4,20250415-014328,,,,,,,,,,,,,,,,,,,
359,kein_Terminated,Zeit abgelaufen,0.6,22,5706,300.5,5,1,20250415-014342,,,,,,,,,,,,,,,,,,,
360,kein_Terminated,Zeit abgelaufen,0.31,19,2260.25,300.5,5,1,20250415-014357,,,,,,,,,,,,,,,,,,,
361,kein_Terminated,Zeit abgelaufen,0.4,14,3884,300.5,5,4,20250415-014411,,,,,,,,,,,,,,,,,,,
362,kein_Terminated,Zeit abgelaufen,0.51,256,-19033.5,300.5,5,4,20250415-014426,,,,,,,,,,,,,,,,,,,
363,kein_Terminated,Zeit abgelaufen,0.24,207,-17640.75,300.5,5,7,20250415-014439,,,,,,,,,,,,,,,,,,,
364,kein_Terminated,Zeit abgelaufen,0.29,8,3072.5,300.5,0,2,20250415-014453,,,,,,,,,,,,,,,,,,,
365,kein_Terminated,Zeit abgelaufen,0.39,88,-3707.5,300.5,0,2,20250415-014508,,,,,,,,,,,,,,,,,,,
366,kein_Terminated,Zeit abgelaufen,0.51,19,4812.25,300.5,0,9,20250415-014522,,,,,,,,,,,,,,,,,,,
367,kein_Terminated,Zeit abgelaufen,0.34,266,-22317,300.5,0,9,20250415-014536,,,,,,,,,,,,,,,,,,,
368,kein_Terminated,Zeit abgelaufen,0.35,33,1225.75,300.5,0,4,20250415-014550,,,,,,,,,,,,,,,,,,,
369,kein_Terminated,Zeit abgelaufen,0.53,176,-10801.5,300.5,0,4,20250415-014605,,,,,,,,,,,,,,,,,,,
370,kein_Terminated,Zeit abgelaufen,0.28,136,-9991.5,300.5,0,2,20250415-014619,,,,,,,,,,,,,,,,,,,
371,kein_Terminated,Zeit abgelaufen,0.51,94,-2880,300.5,8,8,20250415-014634,,,,,,,,,,,,,,,,,,,
372,kein_Terminated,Zeit abgelaufen,0.42,36,1827.5,300.5,8,8,20250415-014648,,,,,,,,,,,,,,,,,,,
373,kein_Terminated,Zeit abgelaufen,0.3,43,-469.75,300.5,8,7,20250415-014702,,,,,,,,,,,,,,,,,,,
374,kein_Terminated,Zeit abgelaufen,0.15,3,1732.25,300.5,8,7,20250415-014716,,,,,,,,,,,,,,,,,,,
375,kein_Terminated,Zeit abgelaufen,0.48,151,-8930.75,300.5,8,7,20250415-014731,,,,,,,,,,,,,,,,,,,
376,kein_Terminated,Zeit abgelaufen,0.56,114,-4227,300.5,8,7,20250415-014745,,,,,,,,,,,,,,,,,,,
377,kein_Terminated,Zeit abgelaufen,0.39,136,-8623.5,300.5,8,4,20250415-014800,,,,,,,,,,,,,,,,,,,
378,kein_Terminated,Zeit abgelaufen,0.37,378,-33229,300.5,0,4,20250415-014815,,,,,,,,,,,,,,,,,,,
379,kein_Terminated,Zeit abgelaufen,0.29,242,-20507,300.5,0,4,20250415-014829,,,,,,,,,,,,,,,,,,,
380,kein_Terminated,Zeit abgelaufen,0.49,7,5737.25,300.5,0,6,20250415-014843,,,,,,,,,,,,,,,,,,,
381,kein_Terminated,Zeit abgelaufen,0.45,113,-5434.25,300.5,0,6,20250415-014858,,,,,,,,,,,,,,,,,,,
382,kein_Terminated,Zeit abgelaufen,0.39,215,-16534.75,300.5,0,9,20250415-014912,,,,,,,,,,,,,,,,,,,
383,kein_Terminated,Zeit abgelaufen,0.37,16,3315.25,300.5,0,9,20250415-014926,,,,,,,,,,,,,,,,,,,
384,kein_Terminated,Zeit abgelaufen,0.47,24,3692.5,300.5,0,7,20250415-014941,,,,,,,,,,,,,,,,,,,
385,kein_Terminated,Zeit abgelaufen,0.25,8,2264.5,300.5,26,6,20250415-015000,,,,,,,,,,,,,,,,,,,
386,kein_Terminated,Zeit abgelaufen,0.45,7,4653.25,300.5,26,6,20250415-015019,,,,,,,,,,,,,,,,,,,
387,kein_Terminated,Zeit abgelaufen,0.31,13,2468.75,300.5,26,8,20250415-015037,,,,,,,,,,,,,,,,,,,
388,kein_Terminated,Zeit abgelaufen,0.25,9,2083.75,300.5,26,8,20250415-015056,,,,,,,,,,,,,,,,,,,
389,kein_Terminated,Zeit abgelaufen,0.13,2,1393,300.5,26,4,20250415-015114,,,,,,,,,,,,,,,,,,,
390,kein_Terminated,Zeit abgelaufen,0.37,0,4486.5,300.5,26,4,20250415-015133,,,,,,,,,,,,,,,,,,,
391,kein_Terminated,Zeit abgelaufen,0.33,5,3482.75,300.5,26,2,20250415-015152,,,,,,,,,,,,,,,,,,,
392,kein_Terminated,Zeit abgelaufen,0.35,364,-32030.5,300.5,0,3,20250415-015206,,,,,,,,,,,,,,,,,,,
393,kein_Terminated,Zeit abgelaufen,0.35,46,-92,300.5,0,3,20250415-015220,,,,,,,,,,,,,,,,,,,
394,kein_Terminated,Zeit abgelaufen,0.3,123,-8469.75,300.5,0,1,20250415-015234,,,,,,,,,,,,,,,,,,,
395,kein_Terminated,Zeit abgelaufen,0.44,40,1692.5,300.5,0,1,20250415-015248,,,,,,,,,,,,,,,,,,,
396,kein_Terminated,Zeit abgelaufen,0.42,96,-4217.5,300.5,0,9,20250415-015302,,,,,,,,,,,,,,,,,,,
397,kein_Terminated,Zeit abgelaufen,0.54,76,-594.5,300.5,0,9,20250415-015317,,,,,,,,,,,,,,,,,,,
398,kein_Terminated,Zeit abgelaufen,0.35,315,-27109.75,300.5,0,8,20250415-015331,,,,,,,,,,,,,,,,,,,
399,kein_Terminated,Zeit abgelaufen,0.35,151,-10650.75,300.5,8,4,20250415-015346,,,,,,,,,,,,,,,,,,,
400,kein_Terminated,Zeit abgelaufen,0.26,401,-37014.25,300.5,8,4,20250415-015400,,,,,,,,,,,,,,,,,,,
401,kein_Terminated,Zeit abgelaufen,0.23,472,-44495.5,300.5,8,7,20250415-015415,,,,,,,,,,,,,,,,,,,
402,kein_Terminated,Zeit abgelaufen,0.16,8,1328.5,300.5,8,7,20250415-015429,,,,,,,,,,,,,,,,,,,
403,kein_Terminated,Zeit abgelaufen,0.22,217,-19004.25,300.5,8,5,20250415-015443,,,,,,,,,,,,,,,,,,,
404,kein_Terminated,Zeit abgelaufen,0.36,150,-10394,300.5,8,5,20250415-015457,,,,,,,,,,,,,,,,,,,
405,kein_Terminated,Zeit abgelaufen,0.39,239,-19040.75,300.5,8,1,20250415-015512,,,,,,,,,,,,,,,,,,,
406,kein_Terminated,Zeit abgelaufen,0.5,92,-2726.5,300.5,8,7,20250415-015527,,,,,,,,,,,,,,,,,,,
407,kein_Terminated,Zeit abgelaufen,0.28,229,-19457.25,300.5,8,7,20250415-015542,,,,,,,,,,,,,,,,,,,
408,kein_Terminated,Zeit abgelaufen,0.37,11,3694.25,300.5,8,2,20250415-015556,,,,,,,,,,,,,,,,,,,
409,kein_Terminated,Zeit abgelaufen,0.49,83,-2031.75,300.5,8,2,20250415-015611,,,,,,,,,,,,,,,,,,,
410,kein_Terminated,Zeit abgelaufen,0.22,7,2249.25,300.5,8,3,20250415-015625,,,,,,,,,,,,,,,,,,,
411,kein_Terminated,Zeit abgelaufen,0.31,181,-14117.25,300.5,8,3,20250415-015639,,,,,,,,,,,,,,,,,,,
412,kein_Terminated,Zeit abgelaufen,0.55,221,-15155.25,300.5,8,7,20250415-015654,,,,,,,,,,,,,,,,,,,
413,kein_Terminated,Zeit abgelaufen,0.49,110,-4728,300.5,8,0,20250415-015708,,,,,,,,,,,,,,,,,,,
414,kein_Terminated,Zeit abgelaufen,0.39,77,-2659.25,300.5,8,0,20250415-015723,,,,,,,,,,,,,,,,,,,
415,kein_Terminated,Zeit abgelaufen,0.51,67,-163.75,300.5,8,4,20250415-015738,,,,,,,,,,,,,,,,,,,
5,kein_Terminated,Zeit abgelaufen,0.03,0,390.5,300.5,5,6,20250415-015759,,,,,,,,,,,,,,,,,,,
416,kein_Terminated,Zeit abgelaufen,0.48,182,-12090,300.5,8,4,20250415-015808,,,,,,,,,,,,,,,,,,,
417,kein_Terminated,Zeit abgelaufen,0.52,148,-8168.5,300.5,8,8,20250415-015823,,,,,,,,,,,,,,,,,,,
418,kein_Terminated,Zeit abgelaufen,0.36,9,3815.75,300.5,8,8,20250415-015838,,,,,,,,,,,,,,,,,,,
419,kein_Terminated,Zeit abgelaufen,0.53,36,3231.5,300.5,8,4,20250415-015852,,,,,,,,,,,,,,,,,,,
420,kein_Terminated,Zeit abgelaufen,0.36,8,3856.5,300.5,0,2,20250415-015906,,,,,,,,,,,,,,,,,,,
421,kein_Terminated,Zeit abgelaufen,0.33,13,3100.75,300.5,0,2,20250415-015921,,,,,,,,,,,,,,,,,,,
422,kein_Terminated,Zeit abgelaufen,0.45,11,4734.25,300.5,0,2,20250415-015935,,,,,,,,,,,,,,,,,,,
423,kein_Terminated,Zeit abgelaufen,0.38,51,-215.75,300.5,0,2,20250415-015949,,,,,,,,,,,,,,,,,,,
424,kein_Terminated,Zeit abgelaufen,0.35,349,-30623.25,300.5,0,6,20250415-020004,,,,,,,,,,,,,,,,,,,
425,kein_Terminated,Zeit abgelaufen,0.36,5,4258.75,300.5,0,6,20250415-020018,,,,,,,,,,,,,,,,,,,
426,kein_Terminated,Zeit abgelaufen,0.4,339,-28923.75,300.5,0,7,20250415-020033,,,,,,,,,,,,,,,,,,,
427,kein_Terminated,Zeit abgelaufen,0.5,28,3845.5,300.5,5,5,20250415-020047,,,,,,,,,,,,,,,,,,,
428,kein_Terminated,Zeit abgelaufen,0.51,5,6294.75,300.5,5,5,20250415-020101,,,,,,,,,,,,,,,,,,,
429,kein_Terminated,Zeit abgelaufen,0.33,347,-30633.75,300.5,5,1,20250415-020115,,,,,,,,,,,,,,,,,,,
430,kein_Terminated,Zeit abgelaufen,0.44,12,4597.5,300.5,5,1,20250415-020130,,,,,,,,,,,,,,,,,,,
431,kein_Terminated,Zeit abgelaufen,0.5,181,-11625.25,300.5,5,3,20250415-020145,,,,,,,,,,,,,,,,,,,
432,kein_Terminated,Zeit abgelaufen,0.48,153,-9104.25,300.5,5,3,20250415-020159,,,,,,,,,,,,,,,,,,,
433,kein_Terminated,Zeit abgelaufen,0.45,12,4789.5,300.5,5,3,20250415-020214,,,,,,,,,,,,,,,,,,,
434,kein_Terminated,Zeit abgelaufen,0.49,14,4516,300.5,26,0,20250415-020233,,,,,,,,,,,,,,,,,,,
435,kein_Terminated,Zeit abgelaufen,0.39,10,3687,300.5,26,0,20250415-020252,,,,,,,,,,,,,,,,,,,
436,kein_Terminated,Zeit abgelaufen,0.54,7,5773.25,300.5,26,4,20250415-020310,,,,,,,,,,,,,,,,,,,
437,kein_Terminated,Zeit abgelaufen,0.43,12,3949.5,300.5,26,4,20250415-020329,,,,,,,,,,,,,,,,,,,
438,kein_Terminated,Zeit abgelaufen,0.41,19,3020.25,300.5,26,3,20250415-020347,,,,,,,,,,,,,,,,,,,
439,kein_Terminated,Zeit abgelaufen,0.41,5,4462.75,300.5,26,3,20250415-020406,,,,,,,,,,,,,,,,,,,
440,kein_Terminated,Zeit abgelaufen,0.55,18,4717,300.5,26,8,20250415-020425,,,,,,,,,,,,,,,,,,,
441,kein_Terminated,Zeit abgelaufen,0.49,117,-5409.25,300.5,0,0,20250415-020440,,,,,,,,,,,,,,,,,,,
442,kein_Terminated,Zeit abgelaufen,0.53,18,5173,300.5,0,0,20250415-020454,,,,,,,,,,,,,,,,,,,
443,kein_Terminated,Zeit abgelaufen,0.44,7,5001.25,300.5,0,9,20250415-020509,,,,,,,,,,,,,,,,,,,
444,kein_Terminated,Zeit abgelaufen,0.41,10,4387,300.5,0,9,20250415-020523,,,,,,,,,,,,,,,,,,,
445,kein_Terminated,Zeit abgelaufen,0.37,249,-20188.25,300.5,0,7,20250415-020537,,,,,,,,,,,,,,,,,,,
446,kein_Terminated,Zeit abgelaufen,0.35,376,-33303.5,300.5,0,7,20250415-020551,,,,,,,,,,,,,,,,,,,
447,kein_Terminated,Zeit abgelaufen,0.46,226,-16747,300.5,0,6,20250415-020605,,,,,,,,,,,,,,,,,,,
448,kein_Terminated,Zeit abgelaufen,0.39,92,-4574.5,300.5,26,6,20250415-020624,,,,,,,,,,,,,,,,,,,
449,kein_Terminated,Zeit abgelaufen,0.36,65,-2194.25,300.5,26,6,20250415-020642,,,,,,,,,,,,,,,,,,,
450,kein_Terminated,Zeit abgelaufen,0.47,29,2772.75,300.5,26,0,20250415-020701,,,,,,,,,,,,,,,,,,,
451,kein_Terminated,Zeit abgelaufen,0.51,6,5566,300.5,26,0,20250415-020720,,,,,,,,,,,,,,,,,,,
452,kein_Terminated,Zeit abgelaufen,0.34,31,983.25,300.5,26,8,20250415-020739,,,,,,,,,,,,,,,,,,,
453,kein_Terminated,Zeit abgelaufen,0.28,16,1770.5,300.5,26,8,20250415-020757,,,,,,,,,,,,,,,,,,,
454,kein_Terminated,Zeit abgelaufen,0.33,1,3849.75,300.5,26,9,20250415-020816,,,,,,,,,,,,,,,,,,,
455,kein_Terminated,Zeit abgelaufen,0.34,6,3878,300.5,5,2,20250415-020829,,,,,,,,,,,,,,,,,,,
456,kein_Terminated,Zeit abgelaufen,0.19,483,-46095.75,300.5,5,2,20250415-020844,,,,,,,,,,,,,,,,,,,
457,kein_Terminated,Zeit abgelaufen,0.55,7,6581.25,300.5,5,0,20250415-020859,,,,,,,,,,,,,,,,,,,
458,kein_Terminated,Zeit abgelaufen,0.57,18,5713,300.5,5,0,20250415-020913,,,,,,,,,,,,,,,,,,,
459,kein_Terminated,Zeit abgelaufen,0.58,28,4813.5,300.5,5,1,20250415-020928,,,,,,,,,,,,,,,,,,,
460,kein_Terminated,Zeit abgelaufen,0.56,13,6140.75,300.5,5,1,20250415-020942,,,,,,,,,,,,,,,,,,,
461,kein_Terminated,Zeit abgelaufen,0.54,4,6711.5,300.5,5,6,20250415-020957,,,,,,,,,,,,,,,,,,,
462,kein_Terminated,Zeit abgelaufen,0.58,174,-9876,300.5,5,9,20250415-021011,,,,,,,,,,,,,,,,,,,
463,kein_Terminated,Zeit abgelaufen,0.49,45,1944.75,300.5,5,9,20250415-021026,,,,,,,,,,,,,,,,,,,
464,kein_Terminated,Zeit abgelaufen,0.57,119,-4402.75,300.5,5,9,20250415-021040,,,,,,,,,,,,,,,,,,,
465,kein_Terminated,Zeit abgelaufen,0.51,88,-2163.5,300.5,5,9,20250415-021055,,,,,,,,,,,,,,,,,,,
466,kein_Terminated,Zeit abgelaufen,0.48,256,-19445.5,300.5,5,7,20250415-021110,,,,,,,,,,,,,,,,,,,
467,kein_Terminated,Zeit abgelaufen,0.57,98,-2339,300.5,5,7,20250415-021124,,,,,,,,,,,,,,,,,,,
468,kein_Terminated,Zeit abgelaufen,0.62,4,7783.5,300.5,5,4,20250415-021138,,,,,,,,,,,,,,,,,,,
469,kein_Terminated,Zeit abgelaufen,0.42,10,4431,300.5,8,0,20250415-021153,,,,,,,,,,,,,,,,,,,
470,kein_Terminated,Zeit abgelaufen,0.4,228,-17712.5,300.5,8,0,20250415-021207,,,,,,,,,,,,,,,,,,,
471,kein_Terminated,Zeit abgelaufen,0.37,48,18.5,300.5,8,5,20250415-021222,,,,,,,,,,,,,,,,,,,
472,kein_Terminated,Zeit abgelaufen,0.57,35,3864.25,300.5,8,5,20250415-021236,,,,,,,,,,,,,,,,,,,
473,kein_Terminated,Zeit abgelaufen,0.37,8,4080.5,300.5,8,6,20250415-021251,,,,,,,,,,,,,,,,,,,
474,kein_Terminated,Zeit abgelaufen,0.4,10,4267,300.5,8,6,20250415-021306,,,,,,,,,,,,,,,,,,,
475,kein_Terminated,Zeit abgelaufen,0.4,157,-10659.25,300.5,8,0,20250415-021320,,,,,,,,,,,,,,,,,,,
476,kein_Terminated,Zeit abgelaufen,0.44,122,-6457,300.5,5,8,20250415-021335,,,,,,,,,,,,,,,,,,,
477,kein_Terminated,Zeit abgelaufen,0.55,152,-7999.5,300.5,5,8,20250415-021349,,,,,,,,,,,,,,,,,,,
478,kein_Terminated,Zeit abgelaufen,0.57,17,5781.75,300.5,5,7,20250415-021403,,,,,,,,,,,,,,,,,,,
479,kein_Terminated,Zeit abgelaufen,0.38,289,-24078.25,300.5,5,7,20250415-021418,,,,,,,,,,,,,,,,,,,
480,kein_Terminated,Zeit abgelaufen,0.37,150,-10162,300.5,5,1,20250415-021431,,,,,,,,,,,,,,,,,,,
481,kein_Terminated,Zeit abgelaufen,0.46,18,4233,300.5,5,1,20250415-021446,,,,,,,,,,,,,,,,,,,
482,kein_Terminated,Zeit abgelaufen,0.37,358,-31114,300.5,5,2,20250415-021500,,,,,,,,,,,,,,,,,,,
483,kein_Terminated,Zeit abgelaufen,0.18,341,-32033.25,300.5,15,1,20250415-021516,,,,,,,,,,,,,,,,,,,
484,kein_Terminated,Zeit abgelaufen,0.43,268,-21478.5,300.5,15,1,20250415-021531,,,,,,,,,,,,,,,,,,,
485,kein_Terminated,Zeit abgelaufen,0.13,405,-39141.25,300.5,15,9,20250415-021546,,,,,,,,,,,,,,,,,,,
486,kein_Terminated,Zeit abgelaufen,0.25,77,-4507.25,300.5,15,9,20250415-021600,,,,,,,,,,,,,,,,,,,
487,kein_Terminated,Zeit abgelaufen,0.23,257,-22890.25,300.5,15,3,20250415-021616,,,,,,,,,,,,,,,,,,,
488,kein_Terminated,Zeit abgelaufen,0.33,303,-26244.75,300.5,15,3,20250415-021632,,,,,,,,,,,,,,,,,,,
489,kein_Terminated,Zeit abgelaufen,0.13,287,-27188.75,300.5,15,7,20250415-021647,,,,,,,,,,,,,,,,,,,
490,kein_Terminated,Zeit abgelaufen,0.46,274,-21467,300.5,5,1,20250415-021702,,,,,,,,,,,,,,,,,,,
491,kein_Terminated,Zeit abgelaufen,0.62,51,3040.25,300.5,5,1,20250415-021716,,,,,,,,,,,,,,,,,,,
492,kein_Terminated,Zeit abgelaufen,0.6,4,7519.5,300.5,5,9,20250415-021731,,,,,,,,,,,,,,,,,,,
493,kein_Terminated,Zeit abgelaufen,0.49,44,2017.5,300.5,5,9,20250415-021745,,,,,,,,,,,,,,,,,,,
494,kein_Terminated,Zeit abgelaufen,0.6,55,2381.25,300.5,5,3,20250415-021759,,,,,,,,,,,,,,,,,,,
495,kein_Terminated,Zeit abgelaufen,0.62,73,859.75,300.5,5,3,20250415-021814,,,,,,,,,,,,,,,,,,,
496,kein_Terminated,Zeit abgelaufen,0.59,19,5932.25,300.5,5,1,20250415-021828,,,,,,,,,,,,,,,,,,,
497,kein_Terminated,Zeit abgelaufen,0.43,96,-4553.5,300.5,26,4,20250415-021846,,,,,,,,,,,,,,,,,,,
498,kein_Terminated,Zeit abgelaufen,0.47,6,5082,300.5,26,4,20250415-021905,,,,,,,,,,,,,,,,,,,
6,kein_Terminated,Zeit abgelaufen,0.18,4,2067.5,300.5,5,9,20250415-021927,,,,,,,,,,,,,,,,,,,
499,kein_Terminated,Zeit abgelaufen,0.38,4,4131.5,300.5,26,2,20250415-021937,,,,,,,,,,,,,,,,,,,
500,kein_Terminated,Zeit abgelaufen,0.39,8,3932.5,300.5,26,2,20250415-021956,,,,,,,,,,,,,,,,,,,
501,kein_Terminated,Zeit abgelaufen,0.38,9,3659.75,300.5,26,5,20250415-022015,,,,,,,,,,,,,,,,,,,
502,kein_Terminated,Zeit abgelaufen,0.43,17,3429.75,300.5,26,5,20250415-022033,,,,,,,,,,,,,,,,,,,
503,kein_Terminated,Zeit abgelaufen,0.44,4,4831.5,300.5,26,4,20250415-022052,,,,,,,,,,,,,,,,,,,
504,kein_Terminated,Zeit abgelaufen,0.15,304,-28689.5,300.5,15,5,20250415-022107,,,,,,,,,,,,,,,,,,,
505,kein_Terminated,Zeit abgelaufen,0.36,152,-10663.5,300.5,15,5,20250415-022123,,,,,,,,,,,,,,,,,,,
506,kein_Terminated,Zeit abgelaufen,0.19,497,-47638.25,300.5,15,4,20250415-022138,,,,,,,,,,,,,,,,,,,
507,kein_Terminated,Zeit abgelaufen,0.19,502,-48162,300.5,15,4,20250415-022154,,,,,,,,,,,,,,,,,,,
508,kein_Terminated,Zeit abgelaufen,0.25,107,-7561.75,300.5,15,0,20250415-022209,,,,,,,,,,,,,,,,,,,
509,kein_Terminated,Zeit abgelaufen,0.09,7,453.25,300.5,15,0,20250415-022223,,,,,,,,,,,,,,,,,,,
510,kein_Terminated,Zeit abgelaufen,0.41,212,-16112.5,300.5,15,5,20250415-022239,,,,,,,,,,,,,,,,,,,
511,kein_Terminated,Zeit abgelaufen,0.47,232,-17203.5,300.5,8,2,20250415-022254,,,,,,,,,,,,,,,,,,,
512,kein_Terminated,Zeit abgelaufen,0.29,9,2911.75,300.5,8,2,20250415-022308,,,,,,,,,,,,,,,,,,,
513,kein_Terminated,Zeit abgelaufen,0.36,144,-9825.5,300.5,8,3,20250415-022323,,,,,,,,,,,,,,,,,,,
514,kein_Terminated,Zeit abgelaufen,0.4,172,-12106.5,300.5,8,3,20250415-022338,,,,,,,,,,,,,,,,,,,
515,kein_Terminated,Zeit abgelaufen,0.35,222,-17812,300.5,8,5,20250415-022352,,,,,,,,,,,,,,,,,,,
516,kein_Terminated,Zeit abgelaufen,0.33,32,1122.5,300.5,8,5,20250415-022406,,,,,,,,,,,,,,,,,,,
517,kein_Terminated,Zeit abgelaufen,0.42,10,4511,300.5,8,1,20250415-022421,,,,,,,,,,,,,,,,,,,
518,kein_Terminated,Zeit abgelaufen,0.4,78,-3040,300.5,26,5,20250415-022439,,,,,,,,,,,,,,,,,,,
519,kein_Terminated,Zeit abgelaufen,0.37,3,4188.25,300.5,26,5,20250415-022458,,,,,,,,,,,,,,,,,,,
520,kein_Terminated,Zeit abgelaufen,0.45,11,4306.25,300.5,26,0,20250415-022517,,,,,,,,,,,,,,,,,,,
521,kein_Terminated,Zeit abgelaufen,0.45,5,4902.75,300.5,26,0,20250415-022536,,,,,,,,,,,,,,,,,,,
522,kein_Terminated,Zeit abgelaufen,0.29,11,2354.25,300.5,26,8,20250415-022554,,,,,,,,,,,,,,,,,,,
523,kein_Terminated,Zeit abgelaufen,0.36,8,3480.5,300.5,26,8,20250415-022613,,,,,,,,,,,,,,,,,,,
524,kein_Terminated,Zeit abgelaufen,0.45,4,4971.5,300.5,26,5,20250415-022632,,,,,,,,,,,,,,,,,,,
525,kein_Terminated,Zeit abgelaufen,0.42,203,-14953.75,300.5,8,4,20250415-022647,,,,,,,,,,,,,,,,,,,
526,kein_Terminated,Zeit abgelaufen,0.49,144,-8161.5,300.5,8,4,20250415-022702,,,,,,,,,,,,,,,,,,,
527,kein_Terminated,Zeit abgelaufen,0.4,94,-4248,300.5,8,1,20250415-022716,,,,,,,,,,,,,,,,,,,
528,kein_Terminated,Zeit abgelaufen,0.48,12,4985.5,300.5,8,1,20250415-022731,,,,,,,,,,,,,,,,,,,
