DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad,DEFAULT_UseOrderedMazeAndStartingPositionInsteadOfRandom,DEFAULT_NumberOfRunsOnEachStartingPosition
2,300,4,0,50000,1,750000,99999,100,100,50,2,0.5,5,-20,0.35,0,8,3,False,,"(27, 28, 29, 30, 31)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250425-231500,False,3

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
114,kein_Terminated,Zeit abgelaufen,0.27,0,2860,300.5,29,8,20250426-002729
115,kein_Terminated,Zeit abgelaufen,0.34,0,3000,300.5,29,0,20250426-002757
116,kein_Terminated,Zeit abgelaufen,0.26,0,2564,300.5,29,7,20250426-002825
117,kein_Terminated,Zeit abgelaufen,0.32,0,3468,300.5,29,5,20250426-002853
118,kein_Terminated,Zeit abgelaufen,0.33,1,2716,300.5,29,6,20250426-002922
119,kein_Terminated,Zeit abgelaufen,0.32,0,2980,300.5,29,6,20250426-002949
120,kein_Terminated,Zeit abgelaufen,0.34,0,2916,300.5,29,0,20250426-003018
121,kein_Terminated,Zeit abgelaufen,0.37,0,3364,300.5,29,3,20250426-003046
122,kein_Terminated,Zeit abgelaufen,0.3,0,2884,300.5,29,8,20250426-003114
123,kein_Terminated,Zeit abgelaufen,0.27,0,2716,300.5,29,8,20250426-003142
124,kein_Terminated,Zeit abgelaufen,0.39,7,3224,300.5,29,1,20250426-003210
125,kein_Terminated,Zeit abgelaufen,0.35,8,2604,300.5,29,1,20250426-003238
126,kein_Terminated,Zeit abgelaufen,0.35,4,3296,300.5,29,9,20250426-003306
127,kein_Terminated,Zeit abgelaufen,0.38,0,3108,300.5,29,3,20250426-003334
128,kein_Terminated,Zeit abgelaufen,0.28,0,2704,300.5,29,9,20250426-003402
129,kein_Terminated,Zeit abgelaufen,0.34,0,3004,300.5,29,5,20250426-003430
130,kein_Terminated,Zeit abgelaufen,0.29,0,3128,300.5,29,7,20250426-003458
