DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
350,kein_Terminated,Zeit abgelaufen,0.63,47,7586,300.5,8,2,20250415-230519,,,,,,,,,,,,,,,,,,
351,kein_Terminated,Zeit abgelaufen,0.57,44,6880,300.5,8,2,20250415-230536,,,,,,,,,,,,,,,,,,
352,kein_Terminated,Zeit abgelaufen,0.6,61,7022,300.5,8,1,20250415-230553,,,,,,,,,,,,,,,,,,
353,kein_Terminated,Zeit abgelaufen,0.61,74,6996,300.5,8,1,20250415-230610,,,,,,,,,,,,,,,,,,
354,kein_Terminated,Zeit abgelaufen,0.67,50,8036,300.5,8,9,20250415-230627,,,,,,,,,,,,,,,,,,
355,kein_Terminated,Zeit abgelaufen,0.71,42,8700,300.5,8,9,20250415-230644,,,,,,,,,,,,,,,,,,
356,kein_Terminated,Zeit abgelaufen,0.59,83,6682,300.5,8,0,20250415-230701,,,,,,,,,,,,,,,,,,
357,kein_Terminated,Zeit abgelaufen,0.41,51,4542,300.5,15,8,20250415-230719,,,,,,,,,,,,,,,,,,
358,kein_Terminated,Zeit abgelaufen,0.4,54,4404,300.5,15,8,20250415-230737,,,,,,,,,,,,,,,,,,
359,kein_Terminated,Zeit abgelaufen,0.53,77,5878,300.5,15,4,20250415-230755,,,,,,,,,,,,,,,,,,
360,kein_Terminated,Zeit abgelaufen,0.48,73,5258,300.5,15,4,20250415-230813,,,,,,,,,,,,,,,,,,
361,kein_Terminated,Zeit abgelaufen,0.46,107,4718,300.5,15,1,20250415-230830,,,,,,,,,,,,,,,,,,
362,kein_Terminated,Zeit abgelaufen,0.47,119,4662,300.5,15,1,20250415-230848,,,,,,,,,,,,,,,,,,
363,kein_Terminated,Zeit abgelaufen,0.58,87,6378,300.5,15,7,20250415-230905,,,,,,,,,,,,,,,,,,
364,kein_Terminated,Zeit abgelaufen,0.64,43,7910,300.5,5,2,20250415-230922,,,,,,,,,,,,,,,,,,
365,kein_Terminated,Zeit abgelaufen,0.69,67,8302,300.5,5,2,20250415-230938,,,,,,,,,,,,,,,,,,
366,kein_Terminated,Zeit abgelaufen,0.67,33,8336,300.5,5,2,20250415-230955,,,,,,,,,,,,,,,,,,
367,kein_Terminated,Zeit abgelaufen,0.67,38,8332,300.5,5,2,20250415-231011,,,,,,,,,,,,,,,,,,
368,kein_Terminated,Zeit abgelaufen,0.59,23,7386,300.5,5,6,20250415-231028,,,,,,,,,,,,,,,,,,
369,kein_Terminated,Zeit abgelaufen,0.56,50,6704,300.5,5,6,20250415-231045,,,,,,,,,,,,,,,,,,
370,kein_Terminated,Zeit abgelaufen,0.67,36,8384,300.5,5,1,20250415-231101,,,,,,,,,,,,,,,,,,
371,kein_Terminated,Zeit abgelaufen,0.46,77,4914,300.5,15,6,20250415-231119,,,,,,,,,,,,,,,,,,
372,kein_Terminated,Zeit abgelaufen,0.32,55,3374,300.5,15,6,20250415-231136,,,,,,,,,,,,,,,,,,
373,kein_Terminated,Zeit abgelaufen,0.5,58,5628,300.5,15,0,20250415-231154,,,,,,,,,,,,,,,,,,
374,kein_Terminated,Zeit abgelaufen,0.24,78,2160,300.5,15,0,20250415-231211,,,,,,,,,,,,,,,,,,
375,kein_Terminated,Zeit abgelaufen,0.42,33,4958,300.5,15,8,20250415-231229,,,,,,,,,,,,,,,,,,
376,kein_Terminated,Zeit abgelaufen,0.39,66,4204,300.5,15,8,20250415-231247,,,,,,,,,,,,,,,,,,
377,kein_Terminated,Zeit abgelaufen,0.28,92,2476,300.5,15,9,20250415-231304,,,,,,,,,,,,,,,,,,
378,kein_Terminated,Zeit abgelaufen,0.64,80,6672,300.5,26,8,20250415-231325,,,,,,,,,,,,,,,,,,
379,kein_Terminated,Zeit abgelaufen,0.62,56,6652,300.5,26,8,20250415-231346,,,,,,,,,,,,,,,,,,
380,kein_Terminated,Zeit abgelaufen,0.46,76,4608,300.5,26,7,20250415-231407,,,,,,,,,,,,,,,,,,
381,kein_Terminated,Zeit abgelaufen,0.74,93,7722,300.5,26,7,20250415-231428,,,,,,,,,,,,,,,,,,
382,kein_Terminated,Zeit abgelaufen,0.64,39,7134,300.5,26,5,20250415-231449,,,,,,,,,,,,,,,,,,
383,kein_Terminated,Zeit abgelaufen,0.6,38,6676,300.5,26,5,20250415-231510,,,,,,,,,,,,,,,,,,
384,kein_Terminated,Zeit abgelaufen,0.42,38,4452,300.5,26,8,20250415-231531,,,,,,,,,,,,,,,,,,
385,kein_Terminated,Zeit abgelaufen,0.58,28,7212,300.5,5,9,20250415-231548,,,,,,,,,,,,,,,,,,
386,kein_Terminated,Zeit abgelaufen,0.58,27,7270,300.5,5,9,20250415-231604,,,,,,,,,,,,,,,,,,
387,kein_Terminated,Zeit abgelaufen,0.64,44,7900,300.5,5,8,20250415-231621,,,,,,,,,,,,,,,,,,
388,kein_Terminated,Zeit abgelaufen,0.7,31,8746,300.5,5,8,20250415-231638,,,,,,,,,,,,,,,,,,
389,kein_Terminated,Zeit abgelaufen,0.58,41,7118,300.5,5,4,20250415-231654,,,,,,,,,,,,,,,,,,
390,kein_Terminated,Zeit abgelaufen,0.63,24,7916,300.5,5,4,20250415-231711,,,,,,,,,,,,,,,,,,
391,kein_Terminated,Zeit abgelaufen,0.62,16,7832,300.5,5,8,20250415-231727,,,,,,,,,,,,,,,,,,
392,kein_Terminated,Zeit abgelaufen,0.59,64,6848,300.5,8,6,20250415-231744,,,,,,,,,,,,,,,,,,
393,kein_Terminated,Zeit abgelaufen,0.64,70,7464,300.5,8,6,20250415-231801,,,,,,,,,,,,,,,,,,
394,kein_Terminated,Zeit abgelaufen,0.67,80,7768,300.5,8,3,20250415-231819,,,,,,,,,,,,,,,,,,
395,kein_Terminated,Zeit abgelaufen,0.66,46,7920,300.5,8,3,20250415-231836,,,,,,,,,,,,,,,,,,
396,kein_Terminated,Zeit abgelaufen,0.49,59,5590,300.5,8,0,20250415-231853,,,,,,,,,,,,,,,,,,
397,kein_Terminated,Zeit abgelaufen,0.42,83,4474,300.5,8,0,20250415-231909,,,,,,,,,,,,,,,,,,
398,kein_Terminated,Zeit abgelaufen,0.67,108,7532,300.5,8,3,20250415-231927,,,,,,,,,,,,,,,,,,
399,kein_Terminated,Zeit abgelaufen,0.66,56,7908,300.5,8,3,20250415-231944,,,,,,,,,,,,,,,,,,
400,kein_Terminated,Zeit abgelaufen,0.7,52,8368,300.5,8,3,20250415-232001,,,,,,,,,,,,,,,,,,
401,kein_Terminated,Zeit abgelaufen,0.67,73,7874,300.5,8,4,20250415-232018,,,,,,,,,,,,,,,,,,
402,kein_Terminated,Zeit abgelaufen,0.53,89,5838,300.5,8,4,20250415-232035,,,,,,,,,,,,,,,,,,
403,kein_Terminated,Zeit abgelaufen,0.65,92,7332,300.5,8,8,20250415-232052,,,,,,,,,,,,,,,,,,
404,kein_Terminated,Zeit abgelaufen,0.47,60,5388,300.5,8,8,20250415-232108,,,,,,,,,,,,,,,,,,
405,kein_Terminated,Zeit abgelaufen,0.59,29,7286,300.5,8,7,20250415-232126,,,,,,,,,,,,,,,,,,
406,kein_Terminated,Zeit abgelaufen,0.65,79,7562,300.5,0,7,20250415-232142,,,,,,,,,,,,,,,,,,
407,kein_Terminated,Zeit abgelaufen,0.58,75,6718,300.5,0,7,20250415-232159,,,,,,,,,,,,,,,,,,
408,kein_Terminated,Zeit abgelaufen,0.57,91,6374,300.5,0,9,20250415-232216,,,,,,,,,,,,,,,,,,
409,kein_Terminated,Zeit abgelaufen,0.62,38,7520,300.5,0,9,20250415-232233,,,,,,,,,,,,,,,,,,
410,kein_Terminated,Zeit abgelaufen,0.68,28,8488,300.5,0,1,20250415-232249,,,,,,,,,,,,,,,,,,
411,kein_Terminated,Zeit abgelaufen,0.59,20,7328,300.5,0,1,20250415-232306,,,,,,,,,,,,,,,,,,
412,kein_Terminated,Zeit abgelaufen,0.61,44,7392,300.5,0,2,20250415-232323,,,,,,,,,,,,,,,,,,
413,kein_Terminated,Zeit abgelaufen,0.58,102,6420,300.5,0,7,20250415-232339,,,,,,,,,,,,,,,,,,
414,kein_Terminated,Zeit abgelaufen,0.63,62,7500,300.5,0,7,20250415-232356,,,,,,,,,,,,,,,,,,
415,kein_Terminated,Zeit abgelaufen,0.63,38,7656,300.5,0,4,20250415-232413,,,,,,,,,,,,,,,,,,
5,kein_Terminated,Zeit abgelaufen,0.11,8,1212,300.5,8,0,20250415-232434,,,,,,,,,,,,,,,,,,
416,kein_Terminated,Zeit abgelaufen,0.58,41,7058,300.5,0,4,20250415-232444,,,,,,,,,,,,,,,,,,
417,kein_Terminated,Zeit abgelaufen,0.66,18,8340,300.5,0,2,20250415-232501,,,,,,,,,,,,,,,,,,
418,kein_Terminated,Zeit abgelaufen,0.63,52,7612,300.5,0,2,20250415-232517,,,,,,,,,,,,,,,,,,
419,kein_Terminated,Zeit abgelaufen,0.57,91,6346,300.5,0,3,20250415-232534,,,,,,,,,,,,,,,,,,
420,kein_Terminated,Zeit abgelaufen,0.65,34,7232,300.5,26,0,20250415-232555,,,,,,,,,,,,,,,,,,
421,kein_Terminated,Zeit abgelaufen,0.69,55,7606,300.5,26,0,20250415-232616,,,,,,,,,,,,,,,,,,
422,kein_Terminated,Zeit abgelaufen,0.32,84,2904,300.5,26,8,20250415-232637,,,,,,,,,,,,,,,,,,
423,kein_Terminated,Zeit abgelaufen,0.62,54,6716,300.5,26,8,20250415-232658,,,,,,,,,,,,,,,,,,
424,kein_Terminated,Zeit abgelaufen,0.65,56,7040,300.5,26,0,20250415-232719,,,,,,,,,,,,,,,,,,
425,kein_Terminated,Zeit abgelaufen,0.66,46,7296,300.5,26,0,20250415-232740,,,,,,,,,,,,,,,,,,
426,kein_Terminated,Zeit abgelaufen,0.61,80,6328,300.5,26,2,20250415-232801,,,,,,,,,,,,,,,,,,
427,kein_Terminated,Zeit abgelaufen,0.61,66,6452,300.5,26,0,20250415-232822,,,,,,,,,,,,,,,,,,
428,kein_Terminated,Zeit abgelaufen,0.67,69,7174,300.5,26,0,20250415-232843,,,,,,,,,,,,,,,,,,
429,kein_Terminated,Zeit abgelaufen,0.64,56,6940,300.5,26,6,20250415-232904,,,,,,,,,,,,,,,,,,
430,kein_Terminated,Zeit abgelaufen,0.65,82,6840,300.5,26,6,20250415-232925,,,,,,,,,,,,,,,,,,
431,kein_Terminated,Zeit abgelaufen,0.52,49,5554,300.5,26,1,20250415-232946,,,,,,,,,,,,,,,,,,
432,kein_Terminated,Zeit abgelaufen,0.43,54,4460,300.5,26,1,20250415-233007,,,,,,,,,,,,,,,,,,
433,kein_Terminated,Zeit abgelaufen,0.66,80,6940,300.5,26,5,20250415-233028,,,,,,,,,,,,,,,,,,
434,kein_Terminated,Zeit abgelaufen,0.7,49,8476,300.5,8,9,20250415-233045,,,,,,,,,,,,,,,,,,
435,kein_Terminated,Zeit abgelaufen,0.57,80,6452,300.5,8,9,20250415-233102,,,,,,,,,,,,,,,,,,
436,kein_Terminated,Zeit abgelaufen,0.68,82,7908,300.5,8,2,20250415-233119,,,,,,,,,,,,,,,,,,
437,kein_Terminated,Zeit abgelaufen,0.67,86,7732,300.5,8,2,20250415-233136,,,,,,,,,,,,,,,,,,
438,kein_Terminated,Zeit abgelaufen,0.61,73,7030,300.5,8,0,20250415-233153,,,,,,,,,,,,,,,,,,
439,kein_Terminated,Zeit abgelaufen,0.61,99,6758,300.5,8,0,20250415-233210,,,,,,,,,,,,,,,,,,
440,kein_Terminated,Zeit abgelaufen,0.69,102,7764,300.5,8,6,20250415-233227,,,,,,,,,,,,,,,,,,
441,kein_Terminated,Zeit abgelaufen,0.41,50,4668,300.5,8,5,20250415-233244,,,,,,,,,,,,,,,,,,
442,kein_Terminated,Zeit abgelaufen,0.45,59,5158,300.5,8,5,20250415-233300,,,,,,,,,,,,,,,,,,
443,kein_Terminated,Zeit abgelaufen,0.54,55,6322,300.5,8,0,20250415-233317,,,,,,,,,,,,,,,,,,
444,kein_Terminated,Zeit abgelaufen,0.56,59,6562,300.5,8,0,20250415-233334,,,,,,,,,,,,,,,,,,
445,kein_Terminated,Zeit abgelaufen,0.62,124,6692,300.5,8,8,20250415-233351,,,,,,,,,,,,,,,,,,
446,kein_Terminated,Zeit abgelaufen,0.59,64,6844,300.5,8,8,20250415-233408,,,,,,,,,,,,,,,,,,
447,kein_Terminated,Zeit abgelaufen,0.65,49,7846,300.5,8,1,20250415-233425,,,,,,,,,,,,,,,,,,
448,kein_Terminated,Zeit abgelaufen,0.43,63,4426,300.5,26,1,20250415-233446,,,,,,,,,,,,,,,,,,
449,kein_Terminated,Zeit abgelaufen,0.59,63,6282,300.5,26,1,20250415-233507,,,,,,,,,,,,,,,,,,
450,kein_Terminated,Zeit abgelaufen,0.7,70,7548,300.5,26,2,20250415-233528,,,,,,,,,,,,,,,,,,
451,kein_Terminated,Zeit abgelaufen,0.65,39,7270,300.5,26,2,20250415-233549,,,,,,,,,,,,,,,,,,
452,kein_Terminated,Zeit abgelaufen,0.68,61,7342,300.5,26,4,20250415-233610,,,,,,,,,,,,,,,,,,
453,kein_Terminated,Zeit abgelaufen,0.72,54,7864,300.5,26,4,20250415-233631,,,,,,,,,,,,,,,,,,
454,kein_Terminated,Zeit abgelaufen,0.68,58,7408,300.5,26,7,20250415-233652,,,,,,,,,,,,,,,,,,
455,kein_Terminated,Zeit abgelaufen,0.58,54,6300,300.5,26,9,20250415-233713,,,,,,,,,,,,,,,,,,
456,kein_Terminated,Zeit abgelaufen,0.59,67,6234,300.5,26,9,20250415-233734,,,,,,,,,,,,,,,,,,
457,kein_Terminated,Zeit abgelaufen,0.6,61,6394,300.5,26,3,20250415-233755,,,,,,,,,,,,,,,,,,
458,kein_Terminated,Zeit abgelaufen,0.59,81,6094,300.5,26,3,20250415-233815,,,,,,,,,,,,,,,,,,
459,kein_Terminated,Zeit abgelaufen,0.47,94,4568,300.5,26,6,20250415-233836,,,,,,,,,,,,,,,,,,
460,kein_Terminated,Zeit abgelaufen,0.33,132,2556,300.5,26,6,20250415-233857,,,,,,,,,,,,,,,,,,
461,kein_Terminated,Zeit abgelaufen,0.62,75,6578,300.5,26,0,20250415-233918,,,,,,,,,,,,,,,,,,
462,kein_Terminated,Zeit abgelaufen,0.68,71,7950,300.5,8,1,20250415-233935,,,,,,,,,,,,,,,,,,
463,kein_Terminated,Zeit abgelaufen,0.64,43,7750,300.5,8,1,20250415-233952,,,,,,,,,,,,,,,,,,
464,kein_Terminated,Zeit abgelaufen,0.59,74,6728,300.5,8,0,20250415-234010,,,,,,,,,,,,,,,,,,
465,kein_Terminated,Zeit abgelaufen,0.56,56,6620,300.5,8,0,20250415-234027,,,,,,,,,,,,,,,,,,
466,kein_Terminated,Zeit abgelaufen,0.64,54,7688,300.5,8,4,20250415-234044,,,,,,,,,,,,,,,,,,
467,kein_Terminated,Zeit abgelaufen,0.71,89,8182,300.5,8,4,20250415-234101,,,,,,,,,,,,,,,,,,
468,kein_Terminated,Zeit abgelaufen,0.61,53,7282,300.5,8,5,20250415-234118,,,,,,,,,,,,,,,,,,
469,kein_Terminated,Zeit abgelaufen,0.61,79,6910,300.5,15,9,20250415-234136,,,,,,,,,,,,,,,,,,
470,kein_Terminated,Zeit abgelaufen,0.5,92,5360,300.5,15,9,20250415-234154,,,,,,,,,,,,,,,,,,
471,kein_Terminated,Zeit abgelaufen,0.42,114,4032,300.5,15,6,20250415-234211,,,,,,,,,,,,,,,,,,
472,kein_Terminated,Zeit abgelaufen,0.54,100,5760,300.5,15,6,20250415-234229,,,,,,,,,,,,,,,,,,
473,kein_Terminated,Zeit abgelaufen,0.57,79,6366,300.5,15,9,20250415-234246,,,,,,,,,,,,,,,,,,
474,kein_Terminated,Zeit abgelaufen,0.59,104,6396,300.5,15,9,20250415-234304,,,,,,,,,,,,,,,,,,
475,kein_Terminated,Zeit abgelaufen,0.5,135,4878,300.5,15,1,20250415-234322,,,,,,,,,,,,,,,,,,
476,kein_Terminated,Zeit abgelaufen,0.56,83,6338,300.5,8,6,20250415-234339,,,,,,,,,,,,,,,,,,
477,kein_Terminated,Zeit abgelaufen,0.59,105,6534,300.5,8,6,20250415-234356,,,,,,,,,,,,,,,,,,
478,kein_Terminated,Zeit abgelaufen,0.6,64,6968,300.5,8,4,20250415-234414,,,,,,,,,,,,,,,,,,
479,kein_Terminated,Zeit abgelaufen,0.68,41,8286,300.5,8,4,20250415-234430,,,,,,,,,,,,,,,,,,
480,kein_Terminated,Zeit abgelaufen,0.57,46,6852,300.5,8,6,20250415-234447,,,,,,,,,,,,,,,,,,
481,kein_Terminated,Zeit abgelaufen,0.6,73,6938,300.5,8,6,20250415-234504,,,,,,,,,,,,,,,,,,
482,kein_Terminated,Zeit abgelaufen,0.63,57,7470,300.5,8,4,20250415-234522,,,,,,,,,,,,,,,,,,
483,kein_Terminated,Zeit abgelaufen,0.45,112,4428,300.5,15,3,20250415-234539,,,,,,,,,,,,,,,,,,
484,kein_Terminated,Zeit abgelaufen,0.43,91,4426,300.5,15,3,20250415-234557,,,,,,,,,,,,,,,,,,
485,kein_Terminated,Zeit abgelaufen,0.52,66,5844,300.5,15,8,20250415-234615,,,,,,,,,,,,,,,,,,
486,kein_Terminated,Zeit abgelaufen,0.41,129,3794,300.5,15,8,20250415-234633,,,,,,,,,,,,,,,,,,
487,kein_Terminated,Zeit abgelaufen,0.4,53,4442,300.5,15,5,20250415-234651,,,,,,,,,,,,,,,,,,
488,kein_Terminated,Zeit abgelaufen,0.43,82,4488,300.5,15,5,20250415-234709,,,,,,,,,,,,,,,,,,
489,kein_Terminated,Zeit abgelaufen,0.51,67,5694,300.5,15,1,20250415-234727,,,,,,,,,,,,,,,,,,
490,kein_Terminated,Zeit abgelaufen,0.66,37,8118,300.5,5,6,20250415-234743,,,,,,,,,,,,,,,,,,
491,kein_Terminated,Zeit abgelaufen,0.64,31,8038,300.5,5,6,20250415-234800,,,,,,,,,,,,,,,,,,
492,kein_Terminated,Zeit abgelaufen,0.63,36,7808,300.5,5,2,20250415-234817,,,,,,,,,,,,,,,,,,
493,kein_Terminated,Zeit abgelaufen,0.65,47,7998,300.5,5,2,20250415-234834,,,,,,,,,,,,,,,,,,
494,kein_Terminated,Zeit abgelaufen,0.66,41,8182,300.5,5,1,20250415-234851,,,,,,,,,,,,,,,,,,
495,kein_Terminated,Zeit abgelaufen,0.61,40,7540,300.5,5,1,20250415-234907,,,,,,,,,,,,,,,,,,
496,kein_Terminated,Zeit abgelaufen,0.67,43,8286,300.5,5,6,20250415-234924,,,,,,,,,,,,,,,,,,
497,kein_Terminated,Zeit abgelaufen,0.53,90,5724,300.5,15,1,20250415-234941,,,,,,,,,,,,,,,,,,
498,kein_Terminated,Zeit abgelaufen,0.24,77,2166,300.5,15,1,20250415-234959,,,,,,,,,,,,,,,,,,
6,kein_Terminated,Zeit abgelaufen,0.05,246,-1936,300.5,8,5,20250415-235020,,,,,,,,,,,,,,,,,,
499,kein_Terminated,Zeit abgelaufen,0.42,65,4614,300.5,15,5,20250415-235030,,,,,,,,,,,,,,,,,,
500,kein_Terminated,Zeit abgelaufen,0.27,80,2584,300.5,15,5,20250415-235048,,,,,,,,,,,,,,,,,,
501,kein_Terminated,Zeit abgelaufen,0.57,109,6014,300.5,15,9,20250415-235106,,,,,,,,,,,,,,,,,,
502,kein_Terminated,Zeit abgelaufen,0.49,81,5310,300.5,15,9,20250415-235124,,,,,,,,,,,,,,,,,,
503,kein_Terminated,Zeit abgelaufen,0.56,71,6310,300.5,15,8,20250415-235142,,,,,,,,,,,,,,,,,,
504,kein_Terminated,Zeit abgelaufen,0.61,32,7552,300.5,5,8,20250415-235159,,,,,,,,,,,,,,,,,,
505,kein_Terminated,Zeit abgelaufen,0.48,42,5752,300.5,5,8,20250415-235215,,,,,,,,,,,,,,,,,,
506,kein_Terminated,Zeit abgelaufen,0.62,65,7338,300.5,5,7,20250415-235232,,,,,,,,,,,,,,,,,,
507,kein_Terminated,Zeit abgelaufen,0.62,89,7166,300.5,5,7,20250415-235249,,,,,,,,,,,,,,,,,,
508,kein_Terminated,Zeit abgelaufen,0.66,71,7886,300.5,5,6,20250415-235305,,,,,,,,,,,,,,,,,,
509,kein_Terminated,Zeit abgelaufen,0.55,72,6404,300.5,5,6,20250415-235322,,,,,,,,,,,,,,,,,,
510,kein_Terminated,Zeit abgelaufen,0.7,38,8724,300.5,5,1,20250415-235338,,,,,,,,,,,,,,,,,,
511,kein_Terminated,Zeit abgelaufen,0.74,46,8948,300.5,8,9,20250415-235355,,,,,,,,,,,,,,,,,,
512,kein_Terminated,Zeit abgelaufen,0.7,64,8320,300.5,8,9,20250415-235413,,,,,,,,,,,,,,,,,,
513,kein_Terminated,Zeit abgelaufen,0.7,45,8518,300.5,8,3,20250415-235430,,,,,,,,,,,,,,,,,,
514,kein_Terminated,Zeit abgelaufen,0.76,68,9060,300.5,8,3,20250415-235447,,,,,,,,,,,,,,,,,,
515,kein_Terminated,Zeit abgelaufen,0.7,49,8478,300.5,8,2,20250415-235504,,,,,,,,,,,,,,,,,,
516,kein_Terminated,Zeit abgelaufen,0.59,56,6976,300.5,8,2,20250415-235521,,,,,,,,,,,,,,,,,,
517,kein_Terminated,Zeit abgelaufen,0.68,89,7802,300.5,8,9,20250415-235538,,,,,,,,,,,,,,,,,,
518,kein_Terminated,Zeit abgelaufen,0.69,38,8576,300.5,5,1,20250415-235555,,,,,,,,,,,,,,,,,,
519,kein_Terminated,Zeit abgelaufen,0.64,28,8048,300.5,5,1,20250415-235611,,,,,,,,,,,,,,,,,,
520,kein_Terminated,Zeit abgelaufen,0.65,66,7724,300.5,5,7,20250415-235628,,,,,,,,,,,,,,,,,,
521,kein_Terminated,Zeit abgelaufen,0.64,37,7894,300.5,5,7,20250415-235645,,,,,,,,,,,,,,,,,,
522,kein_Terminated,Zeit abgelaufen,0.68,64,8116,300.5,5,7,20250415-235701,,,,,,,,,,,,,,,,,,
523,kein_Terminated,Zeit abgelaufen,0.7,53,8510,300.5,5,7,20250415-235718,,,,,,,,,,,,,,,,,,
524,kein_Terminated,Zeit abgelaufen,0.65,56,7824,300.5,5,2,20250415-235735,,,,,,,,,,,,,,,,,,
525,kein_Terminated,Zeit abgelaufen,0.76,74,8964,300.5,8,9,20250415-235752,,,,,,,,,,,,,,,,,,
526,kein_Terminated,Zeit abgelaufen,0.63,44,7536,300.5,8,9,20250415-235809,,,,,,,,,,,,,,,,,,
527,kein_Terminated,Zeit abgelaufen,0.68,49,8174,300.5,8,3,20250415-235826,,,,,,,,,,,,,,,,,,
528,kein_Terminated,Zeit abgelaufen,0.65,67,7650,300.5,8,3,20250415-235843,,,,,,,,,,,,,,,,,,
529,kein_Terminated,Zeit abgelaufen,0.6,77,6962,300.5,8,7,20250415-235900,,,,,,,,,,,,,,,,,,
530,kein_Terminated,Zeit abgelaufen,0.7,52,8412,300.5,8,7,20250415-235917,,,,,,,,,,,,,,,,,,
531,kein_Terminated,Zeit abgelaufen,0.69,56,8208,300.5,8,4,20250415-235934,,,,,,,,,,,,,,,,,,
532,kein_Terminated,Zeit abgelaufen,0.74,30,9288,300.5,5,8,20250415-235951,,,,,,,,,,,,,,,,,,
533,kein_Terminated,Zeit abgelaufen,0.66,36,8132,300.5,5,8,20250416-000008,,,,,,,,,,,,,,,,,,
534,kein_Terminated,Zeit abgelaufen,0.67,31,8346,300.5,5,1,20250416-000024,,,,,,,,,,,,,,,,,,
535,kein_Terminated,Zeit abgelaufen,0.62,32,7672,300.5,5,1,20250416-000041,,,,,,,,,,,,,,,,,,
536,kein_Terminated,Zeit abgelaufen,0.72,26,9080,300.5,5,2,20250416-000058,,,,,,,,,,,,,,,,,,
537,kein_Terminated,Zeit abgelaufen,0.72,33,9058,300.5,5,2,20250416-000115,,,,,,,,,,,,,,,,,,
538,kein_Terminated,Zeit abgelaufen,0.7,49,8594,300.5,5,7,20250416-000131,,,,,,,,,,,,,,,,,,
539,kein_Terminated,Zeit abgelaufen,0.65,71,7586,300.5,0,2,20250416-000148,,,,,,,,,,,,,,,,,,
540,kein_Terminated,Zeit abgelaufen,0.61,66,7140,300.5,0,2,20250416-000205,,,,,,,,,,,,,,,,,,
541,kein_Terminated,Zeit abgelaufen,0.71,47,8698,300.5,0,4,20250416-000221,,,,,,,,,,,,,,,,,,
542,kein_Terminated,Zeit abgelaufen,0.64,66,7560,300.5,0,4,20250416-000238,,,,,,,,,,,,,,,,,,
543,kein_Terminated,Zeit abgelaufen,0.66,41,8014,300.5,0,6,20250416-000255,,,,,,,,,,,,,,,,,,
544,kein_Terminated,Zeit abgelaufen,0.61,50,7284,300.5,0,6,20250416-000311,,,,,,,,,,,,,,,,,,
545,kein_Terminated,Zeit abgelaufen,0.65,51,7834,300.5,0,8,20250416-000328,,,,,,,,,,,,,,,,,,
546,kein_Terminated,Zeit abgelaufen,0.66,110,7188,300.5,15,1,20250416-000345,,,,,,,,,,,,,,,,,,
547,kein_Terminated,Zeit abgelaufen,0.63,59,7298,300.5,15,1,20250416-000403,,,,,,,,,,,,,,,,,,
548,kein_Terminated,Zeit abgelaufen,0.51,82,5520,300.5,15,9,20250416-000421,,,,,,,,,,,,,,,,,,
549,kein_Terminated,Zeit abgelaufen,0.42,59,4606,300.5,15,9,20250416-000438,,,,,,,,,,,,,,,,,,
550,kein_Terminated,Zeit abgelaufen,0.39,80,3996,300.5,15,0,20250416-000456,,,,,,,,,,,,,,,,,,
551,kein_Terminated,Zeit abgelaufen,0.59,79,6650,300.5,15,0,20250416-000513,,,,,,,,,,,,,,,,,,
552,kein_Terminated,Zeit abgelaufen,0.63,128,6704,300.5,15,2,20250416-000531,,,,,,,,,,,,,,,,,,
553,kein_Terminated,Zeit abgelaufen,0.73,71,8586,300.5,8,3,20250416-000548,,,,,,,,,,,,,,,,,,
554,kein_Terminated,Zeit abgelaufen,0.7,45,8526,300.5,8,3,20250416-000605,,,,,,,,,,,,,,,,,,
555,kein_Terminated,Zeit abgelaufen,0.7,71,8250,300.5,8,2,20250416-000622,,,,,,,,,,,,,,,,,,
556,kein_Terminated,Zeit abgelaufen,0.7,76,8232,300.5,8,2,20250416-000639,,,,,,,,,,,,,,,,,,
