DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
51,kein_Terminated,Zeit abgelaufen,0.24,40,2608,300.5,5,8,20250415-213431,,,,,,,,,,,,,,,,,,
52,kein_Terminated,Zeit abgelaufen,0.22,29,2546,300.5,5,8,20250415-213448,,,,,,,,,,,,,,,,,,
53,kein_Terminated,Zeit abgelaufen,0.23,3,2870,300.5,5,9,20250415-213505,,,,,,,,,,,,,,,,,,
54,kein_Terminated,Zeit abgelaufen,0.24,5,2990,300.5,5,9,20250415-213522,,,,,,,,,,,,,,,,,,
55,kein_Terminated,Zeit abgelaufen,0.23,23,2670,300.5,5,2,20250415-213539,,,,,,,,,,,,,,,,,,
56,kein_Terminated,Zeit abgelaufen,0.2,48,1984,300.5,0,4,20250415-213556,,,,,,,,,,,,,,,,,,
57,kein_Terminated,Zeit abgelaufen,0.22,44,2268,300.5,0,4,20250415-213613,,,,,,,,,,,,,,,,,,
58,kein_Terminated,Zeit abgelaufen,0.24,27,2734,300.5,0,2,20250415-213631,,,,,,,,,,,,,,,,,,
59,kein_Terminated,Zeit abgelaufen,0.21,14,2524,300.5,0,2,20250415-213647,,,,,,,,,,,,,,,,,,
60,kein_Terminated,Zeit abgelaufen,0.18,99,1234,300.5,0,8,20250415-213705,,,,,,,,,,,,,,,,,,
61,kein_Terminated,Zeit abgelaufen,0.25,68,2448,300.5,0,8,20250415-213722,,,,,,,,,,,,,,,,,,
62,kein_Terminated,Zeit abgelaufen,0.21,36,2248,300.5,0,9,20250415-213738,,,,,,,,,,,,,,,,,,
63,kein_Terminated,Zeit abgelaufen,0.33,112,2992,300.5,15,4,20250415-213757,,,,,,,,,,,,,,,,,,
64,kein_Terminated,Zeit abgelaufen,0.37,173,2858,300.5,15,4,20250415-213815,,,,,,,,,,,,,,,,,,
65,kein_Terminated,Zeit abgelaufen,0.35,175,2646,300.5,15,3,20250415-213833,,,,,,,,,,,,,,,,,,
66,kein_Terminated,Zeit abgelaufen,0.26,132,1940,300.5,15,3,20250415-213851,,,,,,,,,,,,,,,,,,
67,kein_Terminated,Zeit abgelaufen,0.23,97,1798,300.5,15,4,20250415-213909,,,,,,,,,,,,,,,,,,
68,kein_Terminated,Zeit abgelaufen,0.32,129,2698,300.5,15,4,20250415-213927,,,,,,,,,,,,,,,,,,
69,kein_Terminated,Zeit abgelaufen,0.35,211,2226,300.5,15,0,20250415-213945,,,,,,,,,,,,,,,,,,
70,kein_Terminated,Zeit abgelaufen,0.21,72,1648,300.5,26,1,20250415-214006,,,,,,,,,,,,,,,,,,
71,kein_Terminated,Zeit abgelaufen,0.23,77,1850,300.5,26,1,20250415-214026,,,,,,,,,,,,,,,,,,
72,kein_Terminated,Zeit abgelaufen,0.06,91,-238,300.5,26,2,20250415-214047,,,,,,,,,,,,,,,,,,
73,kein_Terminated,Zeit abgelaufen,0.11,95,222,300.5,26,2,20250415-214107,,,,,,,,,,,,,,,,,,
74,kein_Terminated,Zeit abgelaufen,0.27,60,2472,300.5,26,5,20250415-214128,,,,,,,,,,,,,,,,,,
75,kein_Terminated,Zeit abgelaufen,0.23,67,1990,300.5,26,5,20250415-214150,,,,,,,,,,,,,,,,,,
76,kein_Terminated,Zeit abgelaufen,0.25,65,2218,300.5,26,4,20250415-214210,,,,,,,,,,,,,,,,,,
77,kein_Terminated,Zeit abgelaufen,0.26,119,2082,300.5,0,5,20250415-214227,,,,,,,,,,,,,,,,,,
78,kein_Terminated,Zeit abgelaufen,0.35,85,3646,300.5,0,5,20250415-214244,,,,,,,,,,,,,,,,,,
79,kein_Terminated,Zeit abgelaufen,0.39,91,4074,300.5,0,6,20250415-214301,,,,,,,,,,,,,,,,,,
80,kein_Terminated,Zeit abgelaufen,0.13,180,-268,300.5,0,6,20250415-214316,,,,,,,,,,,,,,,,,,
81,kein_Terminated,Zeit abgelaufen,0.32,70,3376,300.5,0,2,20250415-214333,,,,,,,,,,,,,,,,,,
82,kein_Terminated,Zeit abgelaufen,0.31,90,3032,300.5,0,2,20250415-214350,,,,,,,,,,,,,,,,,,
83,kein_Terminated,Zeit abgelaufen,0.32,105,2994,300.5,0,7,20250415-214407,,,,,,,,,,,,,,,,,,
1,kein_Terminated,Zeit abgelaufen,0.32,159,2442,300.5,0,6,20250415-214424,,,,,,,,,,,,,,,,,,
84,kein_Terminated,Zeit abgelaufen,0.39,128,3208,300.5,26,4,20250415-214441,,,,,,,,,,,,,,,,,,
85,kein_Terminated,Zeit abgelaufen,0.32,105,2666,300.5,26,4,20250415-214502,,,,,,,,,,,,,,,,,,
86,kein_Terminated,Zeit abgelaufen,0.35,100,3060,300.5,26,3,20250415-214523,,,,,,,,,,,,,,,,,,
87,kein_Terminated,Zeit abgelaufen,0.35,107,2978,300.5,26,3,20250415-214544,,,,,,,,,,,,,,,,,,
88,kein_Terminated,Zeit abgelaufen,0.38,117,3298,300.5,26,2,20250415-214605,,,,,,,,,,,,,,,,,,
89,kein_Terminated,Zeit abgelaufen,0.36,106,3176,300.5,26,2,20250415-214626,,,,,,,,,,,,,,,,,,
90,kein_Terminated,Zeit abgelaufen,0.23,141,1230,300.5,26,7,20250415-214648,,,,,,,,,,,,,,,,,,
91,kein_Terminated,Zeit abgelaufen,0.33,138,2728,300.5,15,4,20250415-214706,,,,,,,,,,,,,,,,,,
92,kein_Terminated,Zeit abgelaufen,0.36,147,2958,300.5,15,4,20250415-214724,,,,,,,,,,,,,,,,,,
93,kein_Terminated,Zeit abgelaufen,0.26,253,662,300.5,15,5,20250415-214742,,,,,,,,,,,,,,,,,,
