DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_truncated,DEFAULT_Truncated_Version,DEFAULT_Truncated_Wall_Distance,DEFAULT_no_collision_reward
2,300,2,0,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-10,TR1,0.19,1

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
82,kein_Terminated,Zeit abgelaufen,0.18,489,-3554,21,20250406-215909
83,kein_Terminated,Zeit abgelaufen,0.16,562,-4442,21,20250406-215918
1,kein_Terminated,Zeit abgelaufen,0.07,573,-5304,21,20250406-215930
84,kein_Terminated,Zeit abgelaufen,0.12,552,-4665,21,20250406-215937
85,kein_Terminated,Zeit abgelaufen,0.14,581,-4845,21,20250406-215946
86,kein_Terminated,Zeit abgelaufen,0.14,559,-4524,21,20250406-215955
87,kein_Terminated,Zeit abgelaufen,0.13,542,-4503,21,20250406-220004
88,kein_Terminated,Zeit abgelaufen,0.18,540,-4132,21,20250406-220013
89,kein_Terminated,Zeit abgelaufen,0.05,588,-5572,21,20250406-220023
90,kein_Terminated,Zeit abgelaufen,0.03,593,-5775,21,20250406-220032
91,kein_Terminated,Zeit abgelaufen,0.04,587,-5617,21,20250406-220041
92,kein_Terminated,Zeit abgelaufen,0.04,590,-5668,21,20250406-220050
93,kein_Terminated,Zeit abgelaufen,0.17,530,-4034,21,20250406-220100
94,kein_Terminated,Zeit abgelaufen,0.11,575,-4996,21,20250406-220109
95,kein_Terminated,Zeit abgelaufen,0.12,541,-4629,21,20250406-220118
96,kein_Terminated,Zeit abgelaufen,0.03,599,-5822,21,20250406-220127
97,kein_Terminated,Zeit abgelaufen,0.09,572,-5090,21,20250406-220136
98,kein_Terminated,Zeit abgelaufen,0.12,547,-4579,21,20250406-220146
99,kein_Terminated,Zeit abgelaufen,0.17,549,-4253,21,20250406-220155
100,kein_Terminated,Zeit abgelaufen,0.13,539,-4509,21,20250406-220204
101,kein_Terminated,Zeit abgelaufen,0.02,602,-5904,21,20250406-220213
102,kein_Terminated,Zeit abgelaufen,0.05,595,-5620,21,20250406-220223
103,kein_Terminated,Zeit abgelaufen,0.02,601,-5925,21,20250406-220232
104,kein_Terminated,Zeit abgelaufen,0.02,602,-5943,21,20250406-220241
105,kein_Terminated,Zeit abgelaufen,0.11,561,-4868,21,20250406-220251
106,kein_Terminated,Zeit abgelaufen,0.12,558,-4725,21,20250406-220300
107,kein_Terminated,Zeit abgelaufen,0.02,600,-5906,21,20250406-220309
108,kein_Terminated,Zeit abgelaufen,0.11,602,-5312,21,20250406-220319
109,kein_Terminated,Zeit abgelaufen,0.08,602,-5514,21,20250406-220328
110,kein_Terminated,Zeit abgelaufen,0.15,602,-5039,21,20250406-220337
111,kein_Terminated,Zeit abgelaufen,0.09,564,-5015,21,20250406-220347
112,kein_Terminated,Zeit abgelaufen,0.1,556,-4884,21,20250406-220356
113,kein_Terminated,Zeit abgelaufen,0.1,562,-4967,21,20250406-220405
114,kein_Terminated,Zeit abgelaufen,0.19,531,-3938,21,20250406-220415
115,kein_Terminated,Zeit abgelaufen,0.05,595,-5651,21,20250406-220424
116,kein_Terminated,Zeit abgelaufen,0.03,596,-5814,21,20250406-220433
117,kein_Terminated,Zeit abgelaufen,0.13,565,-4835,21,20250406-220443
118,kein_Terminated,Zeit abgelaufen,0.06,580,-5449,21,20250406-220452
119,kein_Terminated,Zeit abgelaufen,0.1,563,-4864,21,20250406-220501
120,kein_Terminated,Zeit abgelaufen,0.11,563,-4891,21,20250406-220511
121,kein_Terminated,Zeit abgelaufen,0.11,562,-4856,21,20250406-220520
122,kein_Terminated,Zeit abgelaufen,0.05,581,-5483,21,20250406-220529
123,kein_Terminated,Zeit abgelaufen,0.08,585,-5336,21,20250406-220539
124,kein_Terminated,Zeit abgelaufen,0.05,585,-5544,21,20250406-220548
125,kein_Terminated,Zeit abgelaufen,0.11,540,-4652,21,20250406-220558
126,kein_Terminated,Zeit abgelaufen,0.07,573,-5283,21,20250406-220607
127,kein_Terminated,Zeit abgelaufen,0.07,574,-5305,21,20250406-220616
128,kein_Terminated,Zeit abgelaufen,0.1,572,-5053,21,20250406-220626
129,kein_Terminated,Zeit abgelaufen,0.07,581,-5359,21,20250406-220635
130,kein_Terminated,Zeit abgelaufen,0.07,578,-5251,21,20250406-220645
131,kein_Terminated,Zeit abgelaufen,0.1,582,-5080,21,20250406-220654
132,kein_Terminated,Zeit abgelaufen,0.06,574,-5334,21,20250406-220703
133,kein_Terminated,Zeit abgelaufen,0.09,576,-5177,21,20250406-220713
134,kein_Terminated,Zeit abgelaufen,0.07,584,-5409,21,20250406-220722
135,kein_Terminated,Zeit abgelaufen,0.05,584,-5544,21,20250406-220732
136,kein_Terminated,Zeit abgelaufen,0.07,587,-5404,21,20250406-220741
137,kein_Terminated,Zeit abgelaufen,0.05,586,-5551,21,20250406-220751
138,kein_Terminated,Zeit abgelaufen,0.07,587,-5426,21,20250406-220800
139,kein_Terminated,Zeit abgelaufen,0.07,587,-5430,21,20250406-220810
140,kein_Terminated,Zeit abgelaufen,0.04,587,-5612,21,20250406-220819
141,kein_Terminated,Zeit abgelaufen,0.15,584,-4842,21,20250406-220828
142,kein_Terminated,Zeit abgelaufen,0.07,579,-5322,21,20250406-220838
143,kein_Terminated,Zeit abgelaufen,0.1,577,-5123,21,20250406-220847
144,kein_Terminated,Zeit abgelaufen,0.06,575,-5336,21,20250406-220857
145,kein_Terminated,Zeit abgelaufen,0.07,577,-5338,21,20250406-220906
146,kein_Terminated,Zeit abgelaufen,0.08,576,-5247,21,20250406-220915
147,kein_Terminated,Zeit abgelaufen,0.03,591,-5719,21,20250406-220925
148,kein_Terminated,Zeit abgelaufen,0.07,591,-5477,21,20250406-220934
149,kein_Terminated,Zeit abgelaufen,0.14,568,-4788,21,20250406-220944
150,kein_Terminated,Zeit abgelaufen,0.1,572,-5067,21,20250406-220953
151,kein_Terminated,Zeit abgelaufen,0.05,600,-5627,21,20250406-221003
152,kein_Terminated,Zeit abgelaufen,0.09,600,-4950,21,20250406-221012
153,kein_Terminated,Zeit abgelaufen,0.07,573,-5266,21,20250406-221022
154,kein_Terminated,Zeit abgelaufen,0.1,573,-5102,21,20250406-221031
155,kein_Terminated,Zeit abgelaufen,0.08,599,-5476,21,20250406-221041
156,kein_Terminated,Zeit abgelaufen,0.11,576,-4946,21,20250406-221050
157,kein_Terminated,Zeit abgelaufen,0.09,564,-5069,21,20250406-221059
158,kein_Terminated,Zeit abgelaufen,0.09,564,-5029,21,20250406-221109
159,kein_Terminated,Zeit abgelaufen,0.04,589,-5633,21,20250406-221118
160,kein_Terminated,Zeit abgelaufen,0.08,570,-5145,21,20250406-221128
161,kein_Terminated,Zeit abgelaufen,0.08,573,-5178,21,20250406-221137
162,kein_Terminated,Zeit abgelaufen,0.09,572,-5103,21,20250406-221146
163,kein_Terminated,Zeit abgelaufen,0.14,573,-4806,21,20250406-221156
164,kein_Terminated,Zeit abgelaufen,0.09,562,-5039,21,20250406-221205
165,kein_Terminated,Zeit abgelaufen,0.15,550,-4466,21,20250406-221214
166,kein_Terminated,Zeit abgelaufen,0.09,576,-5203,21,20250406-221224
2,kein_Terminated,Zeit abgelaufen,0.07,573,-5304,21,20250406-221236
167,kein_Terminated,Zeit abgelaufen,0.07,587,-5396,21,20250406-221243
168,kein_Terminated,Zeit abgelaufen,0.08,587,-5338,21,20250406-221252
169,kein_Terminated,Zeit abgelaufen,0.06,581,-5401,21,20250406-221302
170,kein_Terminated,Zeit abgelaufen,0.06,576,-5370,21,20250406-221311
171,kein_Terminated,Zeit abgelaufen,0.09,581,-5187,21,20250406-221321
172,kein_Terminated,Zeit abgelaufen,0.12,546,-4615,21,20250406-221330
173,kein_Terminated,Zeit abgelaufen,0.05,586,-5578,21,20250406-221339
174,kein_Terminated,Zeit abgelaufen,0.09,585,-5290,21,20250406-221349
175,kein_Terminated,Zeit abgelaufen,0.06,574,-5336,21,20250406-221358
176,kein_Terminated,Zeit abgelaufen,0.07,575,-5297,21,20250406-221408
177,kein_Terminated,Zeit abgelaufen,0.1,582,-5189,21,20250406-221417
178,kein_Terminated,Zeit abgelaufen,0.09,566,-5011,21,20250406-221427
179,kein_Terminated,Zeit abgelaufen,0.18,529,-4006,21,20250406-221436
180,kein_Terminated,Zeit abgelaufen,0.02,601,-5915,21,20250406-221445
181,kein_Terminated,Zeit abgelaufen,0.07,601,-5589,21,20250406-221455
182,kein_Terminated,Zeit abgelaufen,0.08,566,-5117,21,20250406-221505
183,kein_Terminated,Zeit abgelaufen,0.16,567,-4197,21,20250406-221514
184,kein_Terminated,Zeit abgelaufen,0.1,566,-4930,21,20250406-221524
185,kein_Terminated,Zeit abgelaufen,0.02,595,-5829,21,20250406-221533
186,kein_Terminated,Zeit abgelaufen,0.12,564,-4786,21,20250406-221542
187,kein_Terminated,Zeit abgelaufen,0.08,568,-5137,21,20250406-221552
188,kein_Terminated,Zeit abgelaufen,0.09,565,-5072,21,20250406-221601
189,kein_Terminated,Zeit abgelaufen,0.12,560,-4745,21,20250406-221610
190,kein_Terminated,Zeit abgelaufen,0.13,568,-4827,21,20250406-221620
191,kein_Terminated,Zeit abgelaufen,0.14,570,-4686,21,20250406-221629
192,kein_Terminated,Zeit abgelaufen,0.09,570,-5052,21,20250406-221639
193,kein_Terminated,Zeit abgelaufen,0.09,571,-5045,21,20250406-221648
194,kein_Terminated,Zeit abgelaufen,0.13,554,-4630,21,20250406-221658
195,kein_Terminated,Zeit abgelaufen,0.06,584,-5492,21,20250406-221707
196,kein_Terminated,Zeit abgelaufen,0.09,570,-5043,21,20250406-221716
197,kein_Terminated,Zeit abgelaufen,0.15,565,-4585,21,20250406-221726
198,kein_Terminated,Zeit abgelaufen,0.1,571,-4981,21,20250406-221735
199,kein_Terminated,Zeit abgelaufen,0.08,601,-5484,21,20250406-221745
200,kein_Terminated,Zeit abgelaufen,0.1,520,-4492,21,20250406-221754
201,kein_Terminated,Zeit abgelaufen,0.02,602,-5916,21,20250406-221804
202,kein_Terminated,Zeit abgelaufen,0.1,560,-4915,21,20250406-221813
203,kein_Terminated,Zeit abgelaufen,0.1,560,-4955,21,20250406-221823
204,kein_Terminated,Zeit abgelaufen,0.07,575,-5326,21,20250406-221832
205,kein_Terminated,Zeit abgelaufen,0.14,602,-5108,21,20250406-221842
206,kein_Terminated,Zeit abgelaufen,0.16,558,-4546,21,20250406-221851
207,kein_Terminated,Zeit abgelaufen,0.14,602,-5128,21,20250406-221900
208,kein_Terminated,Zeit abgelaufen,0.15,558,-4551,21,20250406-221910
209,kein_Terminated,Zeit abgelaufen,0.17,586,-4778,21,20250406-221919
210,kein_Terminated,Zeit abgelaufen,0.13,548,-4562,21,20250406-221928
211,kein_Terminated,Zeit abgelaufen,0.09,565,-5081,21,20250406-221938
212,kein_Terminated,Zeit abgelaufen,0.16,565,-4618,21,20250406-221947
213,kein_Terminated,Zeit abgelaufen,0.1,558,-4891,21,20250406-221957
214,kein_Terminated,Zeit abgelaufen,0.14,551,-4595,21,20250406-222006
215,kein_Terminated,Zeit abgelaufen,0.08,565,-5086,21,20250406-222016
216,kein_Terminated,Zeit abgelaufen,0.09,565,-5026,21,20250406-222025
217,kein_Terminated,Zeit abgelaufen,0.02,599,-5851,21,20250406-222035
218,kein_Terminated,Zeit abgelaufen,0.1,561,-4866,21,20250406-222044
219,kein_Terminated,Zeit abgelaufen,0.09,571,-5110,21,20250406-222053
220,kein_Terminated,Zeit abgelaufen,0.15,570,-4705,21,20250406-222103
221,kein_Terminated,Zeit abgelaufen,0.03,594,-5808,21,20250406-222112
222,kein_Terminated,Zeit abgelaufen,0.03,601,-5865,21,20250406-222122
223,kein_Terminated,Zeit abgelaufen,0.09,596,-5420,21,20250406-222131
224,kein_Terminated,Zeit abgelaufen,0.08,567,-5118,21,20250406-222140
225,kein_Terminated,Zeit abgelaufen,0.09,567,-5074,21,20250406-222150
226,kein_Terminated,Zeit abgelaufen,0.08,568,-5139,21,20250406-222159
227,kein_Terminated,Zeit abgelaufen,0.16,566,-4609,21,20250406-222209
228,kein_Terminated,Zeit abgelaufen,0.09,569,-5057,21,20250406-222218
229,kein_Terminated,Zeit abgelaufen,0.14,566,-4639,21,20250406-222228
230,kein_Terminated,Zeit abgelaufen,0.14,568,-4694,21,20250406-222237
