DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward
2,300,2,-0.5,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-20,0.15,0.25

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
94,kein_Terminated,Zeit abgelaufen,0.55,99,2846.0,21,20250407-015734
95,kein_Terminated,Zeit abgelaufen,0.5,90,1973.25,21,20250407-015746
96,kein_Terminated,Zeit abgelaufen,0.49,78,2449.5,21,20250407-015757
97,kein_Terminated,Zeit abgelaufen,0.49,116,1501.75,21,20250407-015809
98,kein_Terminated,Zeit abgelaufen,0.56,95,2294.0,21,20250407-015821
99,kein_Terminated,Zeit abgelaufen,0.5,112,1553.75,21,20250407-015832
100,kein_Terminated,Zeit abgelaufen,0.59,127,1864.25,21,20250407-015844
101,kein_Terminated,Zeit abgelaufen,0.52,116,1860.5,21,20250407-015856
102,kein_Terminated,Zeit abgelaufen,0.54,141,1392.5,21,20250407-015908
103,kein_Terminated,Zeit abgelaufen,0.48,149,1414.25,21,20250407-015919
104,kein_Terminated,Zeit abgelaufen,0.53,138,1857.25,21,20250407-015931
105,kein_Terminated,Zeit abgelaufen,0.48,94,2079.75,21,20250407-015943
106,kein_Terminated,Zeit abgelaufen,0.52,157,578.5,21,20250407-015955
107,kein_Terminated,Zeit abgelaufen,0.53,53,2752.25,21,20250407-020007
108,kein_Terminated,Zeit abgelaufen,0.47,58,2668.0,21,20250407-020018
109,kein_Terminated,Zeit abgelaufen,0.51,90,2312.5,21,20250407-020030
110,kein_Terminated,Zeit abgelaufen,0.43,61,2432.5,21,20250407-020042
111,kein_Terminated,Zeit abgelaufen,0.44,31,2666.25,21,20250407-020054
112,kein_Terminated,Zeit abgelaufen,0.46,33,2762.25,21,20250407-020106
113,kein_Terminated,Zeit abgelaufen,0.53,37,3236.0,21,20250407-020118
114,kein_Terminated,Zeit abgelaufen,0.54,143,2798.0,21,20250407-020129
115,kein_Terminated,Zeit abgelaufen,0.47,27,2882.5,21,20250407-020141
116,kein_Terminated,Zeit abgelaufen,0.51,49,3035.75,21,20250407-020153
117,kein_Terminated,Zeit abgelaufen,0.55,48,3224.75,21,20250407-020205
118,kein_Terminated,Zeit abgelaufen,0.5,59,2744.25,21,20250407-020216
119,kein_Terminated,Zeit abgelaufen,0.5,77,2865.75,21,20250407-020228
120,kein_Terminated,Zeit abgelaufen,0.51,66,3025.0,21,20250407-020240
121,kein_Terminated,Zeit abgelaufen,0.54,40,3239.25,21,20250407-020252
122,kein_Terminated,Zeit abgelaufen,0.52,58,3079.0,21,20250407-020303
123,kein_Terminated,Zeit abgelaufen,0.51,54,2948.5,21,20250407-020315
124,kein_Terminated,Zeit abgelaufen,0.54,63,2745.25,21,20250407-020327
125,kein_Terminated,Zeit abgelaufen,0.51,45,2952.5,21,20250407-020339
126,kein_Terminated,Zeit abgelaufen,0.41,12,2541.5,21,20250407-020350
127,kein_Terminated,Zeit abgelaufen,0.44,26,2652.75,21,20250407-020402
128,kein_Terminated,Zeit abgelaufen,0.45,47,2566.5,21,20250407-020414
129,kein_Terminated,Zeit abgelaufen,0.51,56,2837.25,21,20250407-020426
130,kein_Terminated,Zeit abgelaufen,0.51,77,2002.75,21,20250407-020438
131,kein_Terminated,Zeit abgelaufen,0.45,192,-673.0,21,20250407-020449
132,kein_Terminated,Zeit abgelaufen,0.58,90,2926.25,21,20250407-020501
133,kein_Terminated,Zeit abgelaufen,0.58,54,3553.75,21,20250407-020513
134,kein_Terminated,Zeit abgelaufen,0.5,294,-1965.75,21,20250407-020525
135,kein_Terminated,Zeit abgelaufen,0.6,67,3420.75,21,20250407-020536
136,kein_Terminated,Zeit abgelaufen,0.6,66,3615.0,21,20250407-020548
137,kein_Terminated,Zeit abgelaufen,0.63,96,3457.0,21,20250407-020600
138,kein_Terminated,Zeit abgelaufen,0.54,239,-695.5,21,20250407-020612
139,kein_Terminated,Zeit abgelaufen,0.54,65,2970.25,21,20250407-020624
140,kein_Terminated,Zeit abgelaufen,0.44,112,1958.0,21,20250407-020635
141,kein_Terminated,Zeit abgelaufen,0.34,381,-5271.0,21,20250407-020648
142,kein_Terminated,Zeit abgelaufen,0.56,158,1306.0,21,20250407-020700
143,kein_Terminated,Zeit abgelaufen,0.42,395,-4905.25,21,20250407-020712
144,kein_Terminated,Zeit abgelaufen,0.54,96,2611.5,21,20250407-020724
145,kein_Terminated,Zeit abgelaufen,0.49,64,2632.5,21,20250407-020735
146,kein_Terminated,Zeit abgelaufen,0.5,87,2070.0,21,20250407-020747
147,kein_Terminated,Zeit abgelaufen,0.41,297,-3021.5,21,20250407-020759
148,kein_Terminated,Zeit abgelaufen,0.34,418,-6133.5,21,20250407-020811
149,kein_Terminated,Zeit abgelaufen,0.4,326,-3561.0,21,20250407-020823
150,kein_Terminated,Zeit abgelaufen,0.43,111,1193.5,21,20250407-020835
151,kein_Terminated,Zeit abgelaufen,0.46,63,2033.25,21,20250407-020847
152,kein_Terminated,Zeit abgelaufen,0.4,67,1689.75,21,20250407-020859
153,kein_Terminated,Zeit abgelaufen,0.43,78,1932.0,21,20250407-020911
154,kein_Terminated,Zeit abgelaufen,0.46,82,2150.25,21,20250407-020922
155,kein_Terminated,Zeit abgelaufen,0.44,249,-1790.25,21,20250407-020934
156,kein_Terminated,Zeit abgelaufen,0.4,316,-3228.5,21,20250407-020946
157,kein_Terminated,Zeit abgelaufen,0.48,83,2426.0,21,20250407-020958
158,kein_Terminated,Zeit abgelaufen,0.42,148,416.25,21,20250407-021010
159,kein_Terminated,Zeit abgelaufen,0.47,81,2101.5,21,20250407-021022
160,kein_Terminated,Zeit abgelaufen,0.44,102,1660.0,21,20250407-021034
161,kein_Terminated,Zeit abgelaufen,0.45,112,1540.0,21,20250407-021046
162,kein_Terminated,Zeit abgelaufen,0.4,75,1358.0,21,20250407-021057
163,kein_Terminated,Zeit abgelaufen,0.52,141,1752.5,21,20250407-021109
164,kein_Terminated,Zeit abgelaufen,0.48,87,1920.0,21,20250407-021121
165,kein_Terminated,Zeit abgelaufen,0.41,65,1713.25,21,20250407-021133
166,kein_Terminated,Zeit abgelaufen,0.32,36,1720.75,21,20250407-021144
2,kein_Terminated,Zeit abgelaufen,0.36,39,1790.75,21,20250407-021156
167,kein_Terminated,Zeit abgelaufen,0.42,54,2271.25,21,20250407-021205
168,kein_Terminated,Zeit abgelaufen,0.33,50,1649.25,21,20250407-021217
169,kein_Terminated,Zeit abgelaufen,0.35,40,1898.25,21,20250407-021228
170,kein_Terminated,Zeit abgelaufen,0.34,37,1962.0,21,20250407-021240
171,kein_Terminated,Zeit abgelaufen,0.48,137,1962.25,21,20250407-021252
172,kein_Terminated,Zeit abgelaufen,0.34,64,1675.0,21,20250407-021304
173,kein_Terminated,Zeit abgelaufen,0.34,84,1731.5,21,20250407-021316
174,kein_Terminated,Zeit abgelaufen,0.34,58,1814.0,21,20250407-021327
175,kein_Terminated,Zeit abgelaufen,0.34,44,1970.0,21,20250407-021339
176,kein_Terminated,Zeit abgelaufen,0.32,47,1682.5,21,20250407-021351
177,kein_Terminated,Zeit abgelaufen,0.56,93,2628.25,21,20250407-021403
178,kein_Terminated,Zeit abgelaufen,0.53,59,3003.25,21,20250407-021415
179,kein_Terminated,Zeit abgelaufen,0.47,69,2597.0,21,20250407-021426
180,kein_Terminated,Zeit abgelaufen,0.6,150,1948.5,21,20250407-021438
181,kein_Terminated,Zeit abgelaufen,0.45,40,2610.75,21,20250407-021450
182,kein_Terminated,Zeit abgelaufen,0.42,39,2346.5,21,20250407-021502
183,kein_Terminated,Zeit abgelaufen,0.45,44,2570.25,21,20250407-021513
184,kein_Terminated,Zeit abgelaufen,0.45,34,2631.0,21,20250407-021525
185,kein_Terminated,Zeit abgelaufen,0.44,34,2549.25,21,20250407-021537
186,kein_Terminated,Zeit abgelaufen,0.46,35,2586.0,21,20250407-021549
187,kein_Terminated,Zeit abgelaufen,0.62,155,2394.75,21,20250407-021601
188,kein_Terminated,Zeit abgelaufen,0.46,40,2458.75,21,20250407-021612
189,kein_Terminated,Zeit abgelaufen,0.44,61,2382.75,21,20250407-021624
190,kein_Terminated,Zeit abgelaufen,0.54,72,2925.25,21,20250407-021636
191,kein_Terminated,Zeit abgelaufen,0.45,36,2459.5,21,20250407-021648
192,kein_Terminated,Zeit abgelaufen,0.51,102,2012.5,21,20250407-021700
193,kein_Terminated,Zeit abgelaufen,0.59,108,2877.0,21,20250407-021712
194,kein_Terminated,Zeit abgelaufen,0.57,127,1892.5,21,20250407-021723
195,kein_Terminated,Zeit abgelaufen,0.55,57,2999.75,21,20250407-021735
196,kein_Terminated,Zeit abgelaufen,0.53,53,2973.25,21,20250407-021747
197,kein_Terminated,Zeit abgelaufen,0.54,51,2986.5,21,20250407-021759
198,kein_Terminated,Zeit abgelaufen,0.58,87,2825.25,21,20250407-021811
199,kein_Terminated,Zeit abgelaufen,0.46,87,2126.0,21,20250407-021823
200,kein_Terminated,Zeit abgelaufen,0.34,36,1804.0,21,20250407-021835
201,kein_Terminated,Zeit abgelaufen,0.43,53,2404.0,21,20250407-021846
202,kein_Terminated,Zeit abgelaufen,0.39,64,1984.0,21,20250407-021858
203,kein_Terminated,Zeit abgelaufen,0.42,40,2465.5,21,20250407-021910
204,kein_Terminated,Zeit abgelaufen,0.31,35,1651.0,21,20250407-021922
205,kein_Terminated,Zeit abgelaufen,0.5,54,2781.25,21,20250407-021934
206,kein_Terminated,Zeit abgelaufen,0.44,34,2563.25,21,20250407-021945
207,kein_Terminated,Zeit abgelaufen,0.47,38,2733.25,21,20250407-021957
208,kein_Terminated,Zeit abgelaufen,0.41,42,2381.25,21,20250407-022009
209,kein_Terminated,Zeit abgelaufen,0.35,36,2036.25,21,20250407-022021
210,kein_Terminated,Zeit abgelaufen,0.46,94,2057.75,21,20250407-022033
211,kein_Terminated,Zeit abgelaufen,0.51,97,2266.25,21,20250407-022045
212,kein_Terminated,Zeit abgelaufen,0.55,138,1894.25,21,20250407-022056
213,kein_Terminated,Zeit abgelaufen,0.47,67,2251.25,21,20250407-022108
