DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Beste_Modelle/M2_R6_O4_A2_TR1_T1_20250411-114143/save-04.11.2025_11.41.43/final_model.zip,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-182500

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
71,kein_Terminated,Zeit abgelaufen,0.13,73,814,300.5,24,4,20250423-184644
72,kein_Terminated,Zeit abgelaufen,0.21,5,2494,300.5,24,0,20250423-184701
73,kein_Terminated,Zeit abgelaufen,0.19,3,2274,300.5,24,0,20250423-184716
74,kein_Terminated,Zeit abgelaufen,0.2,40,1992,300.5,24,2,20250423-184731
75,kein_Terminated,Zeit abgelaufen,0.14,83,846,300.5,24,2,20250423-184747
76,kein_Terminated,Zeit abgelaufen,0.19,38,1908,300.5,24,5,20250423-184803
77,kein_Terminated,Zeit abgelaufen,0.19,44,1880,300.5,22,1,20250423-184818
78,kein_Terminated,Zeit abgelaufen,0.18,14,2056,300.5,22,1,20250423-184833
79,kein_Terminated,Zeit abgelaufen,0.25,19,2882,300.5,22,4,20250423-184849
80,kein_Terminated,Zeit abgelaufen,0.14,23,1406,300.5,22,4,20250423-184904
81,kein_Terminated,Zeit abgelaufen,0.16,15,1750,300.5,22,6,20250423-184920
82,kein_Terminated,Zeit abgelaufen,0.18,35,1870,300.5,22,6,20250423-184937
83,kein_Terminated,Zeit abgelaufen,0.2,4,2440,300.5,22,0,20250423-184952
1,kein_Terminated,Zeit abgelaufen,0.19,288,-576,300.5,22,3,20250423-185010
84,kein_Terminated,Zeit abgelaufen,0.17,26,1672,300.5,25,5,20250423-185024
85,kein_Terminated,Zeit abgelaufen,0.19,37,1834,300.5,25,5,20250423-185041
86,kein_Terminated,Zeit abgelaufen,0.15,105,634,300.5,25,8,20250423-185059
87,kein_Terminated,Zeit abgelaufen,0.17,61,1306,300.5,25,8,20250423-185116
88,kein_Terminated,Zeit abgelaufen,0.11,93,366,300.5,25,8,20250423-185134
89,kein_Terminated,Zeit abgelaufen,0.14,131,314,300.5,25,8,20250423-185151
90,kein_Terminated,Zeit abgelaufen,0.13,75,742,300.5,25,6,20250423-185208
91,kein_Terminated,Zeit abgelaufen,0.13,120,368,300.5,24,3,20250423-185224
92,kein_Terminated,Zeit abgelaufen,0.14,169,26,300.5,24,3,20250423-185239
93,kein_Terminated,Zeit abgelaufen,0.18,66,1504,300.5,24,1,20250423-185255
94,kein_Terminated,Zeit abgelaufen,0.22,43,2226,300.5,24,1,20250423-185311
95,kein_Terminated,Zeit abgelaufen,0.26,52,2696,300.5,24,8,20250423-185327
96,kein_Terminated,Zeit abgelaufen,0.26,80,2372,300.5,24,8,20250423-185343
97,kein_Terminated,Zeit abgelaufen,0.13,91,598,300.5,24,7,20250423-185358
98,kein_Terminated,Zeit abgelaufen,0.16,91,970,300.5,24,1,20250423-185414
99,kein_Terminated,Zeit abgelaufen,0.29,43,3134,300.5,24,1,20250423-185430
100,kein_Terminated,Zeit abgelaufen,0.18,108,1084,300.5,24,2,20250423-185445
101,kein_Terminated,Zeit abgelaufen,0.2,84,1584,300.5,24,2,20250423-185500
102,kein_Terminated,Zeit abgelaufen,0.17,67,1330,300.5,24,8,20250423-185516
103,kein_Terminated,Zeit abgelaufen,0.31,95,2822,300.5,24,8,20250423-185532
104,kein_Terminated,Zeit abgelaufen,0.12,103,418,300.5,24,5,20250423-185547
105,kein_Terminated,Zeit abgelaufen,0.16,78,1184,300.5,24,5,20250423-185602
106,kein_Terminated,Zeit abgelaufen,0.14,22,1484,300.5,24,5,20250423-185618
107,kein_Terminated,Zeit abgelaufen,0.15,123,566,300.5,24,3,20250423-185633
108,kein_Terminated,Zeit abgelaufen,0.14,86,840,300.5,24,3,20250423-185648
109,kein_Terminated,Zeit abgelaufen,0.14,71,910,300.5,24,3,20250423-185704
110,kein_Terminated,Zeit abgelaufen,0.14,48,1184,300.5,24,3,20250423-185719
111,kein_Terminated,Zeit abgelaufen,0.15,135,430,300.5,24,5,20250423-185734
112,kein_Terminated,Zeit abgelaufen,0.24,127,1698,300.5,23,9,20250423-185750
113,kein_Terminated,Zeit abgelaufen,0.3,53,3188,300.5,23,9,20250423-185806
114,kein_Terminated,Zeit abgelaufen,0.17,32,1728,300.5,23,3,20250423-185821
115,kein_Terminated,Zeit abgelaufen,0.21,110,1416,300.5,23,3,20250423-185836
116,kein_Terminated,Zeit abgelaufen,0.13,53,1078,300.5,23,3,20250423-185851
117,kein_Terminated,Zeit abgelaufen,0.19,37,1882,300.5,23,3,20250423-185906
118,kein_Terminated,Zeit abgelaufen,0.19,50,1840,300.5,23,3,20250423-185921
119,kein_Terminated,Zeit abgelaufen,0.17,45,1562,300.5,22,0,20250423-185936
120,kein_Terminated,Zeit abgelaufen,0.18,49,1742,300.5,22,0,20250423-185952
121,kein_Terminated,Zeit abgelaufen,0.24,29,2662,300.5,22,8,20250423-190008
122,kein_Terminated,Zeit abgelaufen,0.28,86,2588,300.5,22,8,20250423-190023
123,kein_Terminated,Zeit abgelaufen,0.36,57,3902,300.5,22,5,20250423-190039
124,kein_Terminated,Zeit abgelaufen,0.26,109,2090,300.5,22,5,20250423-190055
125,kein_Terminated,Zeit abgelaufen,0.21,64,2004,300.5,22,7,20250423-190110
126,kein_Terminated,Zeit abgelaufen,0.32,70,3304,300.5,23,7,20250423-190126
127,kein_Terminated,Zeit abgelaufen,0.24,70,2244,300.5,23,7,20250423-190141
128,kein_Terminated,Zeit abgelaufen,0.21,110,1512,300.5,23,0,20250423-190156
129,kein_Terminated,Zeit abgelaufen,0.16,81,1178,300.5,23,0,20250423-190212
130,kein_Terminated,Zeit abgelaufen,0.35,199,2370,300.5,23,8,20250423-190228
131,kein_Terminated,Zeit abgelaufen,0.34,172,2524,300.5,23,8,20250423-190244
132,kein_Terminated,Zeit abgelaufen,0.15,94,924,300.5,23,6,20250423-190259
133,kein_Terminated,Zeit abgelaufen,0.19,57,1730,300.5,22,2,20250423-190315
134,kein_Terminated,Zeit abgelaufen,0.37,29,4350,300.5,22,2,20250423-190330
135,kein_Terminated,Zeit abgelaufen,0.42,98,4232,300.5,22,0,20250423-190345
136,kein_Terminated,Zeit abgelaufen,0.3,114,2608,300.5,22,0,20250423-190400
137,kein_Terminated,Zeit abgelaufen,0.41,97,4194,300.5,22,3,20250423-190416
138,kein_Terminated,Zeit abgelaufen,0.24,7,2906,300.5,22,3,20250423-190431
139,kein_Terminated,Zeit abgelaufen,0.37,33,4282,300.5,22,4,20250423-190447
140,kein_Terminated,Zeit abgelaufen,0.32,68,3320,300.5,23,8,20250423-190503
141,kein_Terminated,Zeit abgelaufen,0.32,88,3112,300.5,23,8,20250423-190518
142,kein_Terminated,Zeit abgelaufen,0.4,70,4220,300.5,23,4,20250423-190533
143,kein_Terminated,Zeit abgelaufen,0.34,66,3548,300.5,23,4,20250423-190549
144,kein_Terminated,Zeit abgelaufen,0.44,44,5060,300.5,23,5,20250423-190604
145,kein_Terminated,Zeit abgelaufen,0.59,70,6676,300.5,23,5,20250423-190620
146,kein_Terminated,Zeit abgelaufen,0.34,53,3650,300.5,23,4,20250423-190635
147,kein_Terminated,Zeit abgelaufen,0.34,180,2464,300.5,24,0,20250423-190651
148,kein_Terminated,Zeit abgelaufen,0.37,204,2476,300.5,24,0,20250423-190706
149,kein_Terminated,Zeit abgelaufen,0.46,91,4842,300.5,24,7,20250423-190722
150,kein_Terminated,Zeit abgelaufen,0.5,116,5096,300.5,24,7,20250423-190738
151,kein_Terminated,Zeit abgelaufen,0.36,147,2938,300.5,24,1,20250423-190753
152,kein_Terminated,Zeit abgelaufen,0.31,192,1868,300.5,24,1,20250423-190808
153,kein_Terminated,Zeit abgelaufen,0.28,70,2764,300.5,24,1,20250423-190823
154,kein_Terminated,Zeit abgelaufen,0.24,55,2378,300.5,22,6,20250423-190839
155,kein_Terminated,Zeit abgelaufen,0.28,142,2084,300.5,22,6,20250423-190854
156,kein_Terminated,Zeit abgelaufen,0.47,102,4820,300.5,22,9,20250423-190909
157,kein_Terminated,Zeit abgelaufen,0.4,125,3726,300.5,22,9,20250423-190925
158,kein_Terminated,Zeit abgelaufen,0.42,43,4906,300.5,22,6,20250423-190941
159,kein_Terminated,Zeit abgelaufen,0.35,75,3562,300.5,22,6,20250423-190956
160,kein_Terminated,Zeit abgelaufen,0.39,155,3302,300.5,22,4,20250423-191012
161,kein_Terminated,Zeit abgelaufen,0.36,135,3198,300.5,22,7,20250423-191027
162,kein_Terminated,Zeit abgelaufen,0.3,128,2396,300.5,22,7,20250423-191042
163,kein_Terminated,Zeit abgelaufen,0.48,100,5040,300.5,22,3,20250423-191058
164,kein_Terminated,Zeit abgelaufen,0.36,144,3120,300.5,22,3,20250423-191114
165,kein_Terminated,Zeit abgelaufen,0.56,46,6544,300.5,22,2,20250423-191129
166,kein_Terminated,Zeit abgelaufen,0.51,93,5550,300.5,22,2,20250423-191144
2,kein_Terminated,Zeit abgelaufen,0.46,180,3944,300.5,22,3,20250423-191204
167,kein_Terminated,Zeit abgelaufen,0.45,107,4522,300.5,22,3,20250423-191216
168,kein_Terminated,Zeit abgelaufen,0.22,200,656,300.5,24,3,20250423-191231
169,kein_Terminated,Zeit abgelaufen,0.26,193,1286,300.5,24,3,20250423-191246
170,kein_Terminated,Zeit abgelaufen,0.19,279,-518,300.5,24,6,20250423-191302
171,kein_Terminated,Zeit abgelaufen,0.52,157,4954,300.5,24,6,20250423-191318
172,kein_Terminated,Zeit abgelaufen,0.29,186,1660,300.5,24,3,20250423-191333
173,kein_Terminated,Zeit abgelaufen,0.23,200,820,300.5,24,3,20250423-191348
174,kein_Terminated,Zeit abgelaufen,0.25,186,1148,300.5,24,2,20250423-191404
175,kein_Terminated,Zeit abgelaufen,0.37,98,3436,300.5,25,2,20250423-191422
176,kein_Terminated,Zeit abgelaufen,0.32,166,2100,300.5,25,2,20250423-191439
177,kein_Terminated,Zeit abgelaufen,0.38,182,2684,300.5,25,3,20250423-191456
178,kein_Terminated,Zeit abgelaufen,0.27,143,1782,300.5,25,3,20250423-191514
179,kein_Terminated,Zeit abgelaufen,0.11,382,-2576,300.5,25,5,20250423-191531
180,kein_Terminated,Zeit abgelaufen,0.2,332,-1036,300.5,25,5,20250423-191548
181,kein_Terminated,Zeit abgelaufen,0.17,269,-774,300.5,25,7,20250423-191605
182,kein_Terminated,Zeit abgelaufen,0.29,162,1948,300.5,24,0,20250423-191621
183,kein_Terminated,Zeit abgelaufen,0.37,111,3450,300.5,24,0,20250423-191636
184,kein_Terminated,Zeit abgelaufen,0.19,177,530,300.5,24,2,20250423-191651
185,kein_Terminated,Zeit abgelaufen,0.21,187,662,300.5,24,2,20250423-191706
186,kein_Terminated,Zeit abgelaufen,0.44,74,4728,300.5,24,1,20250423-191722
187,kein_Terminated,Zeit abgelaufen,0.37,98,3612,300.5,24,1,20250423-191737
188,kein_Terminated,Zeit abgelaufen,0.37,177,2822,300.5,24,9,20250423-191753
189,kein_Terminated,Zeit abgelaufen,0.38,120,3504,300.5,22,7,20250423-191808
190,kein_Terminated,Zeit abgelaufen,0.39,129,3622,300.5,22,7,20250423-191823
191,kein_Terminated,Zeit abgelaufen,0.33,118,2896,300.5,22,6,20250423-191839
192,kein_Terminated,Zeit abgelaufen,0.36,141,3098,300.5,22,6,20250423-191855
193,kein_Terminated,Zeit abgelaufen,0.38,138,3336,300.5,22,7,20250423-191910
194,kein_Terminated,Zeit abgelaufen,0.38,88,3840,300.5,22,7,20250423-191926
195,kein_Terminated,Zeit abgelaufen,0.43,123,4154,300.5,22,1,20250423-191941
196,kein_Terminated,Zeit abgelaufen,0.18,254,-496,300.5,25,5,20250423-191958
197,kein_Terminated,Zeit abgelaufen,0.21,340,-992,300.5,25,5,20250423-192015
198,kein_Terminated,Zeit abgelaufen,0.2,210,288,300.5,25,0,20250423-192033
199,kein_Terminated,Zeit abgelaufen,0.23,210,652,300.5,25,0,20250423-192050
200,kein_Terminated,Zeit abgelaufen,0.11,204,-804,300.5,25,6,20250423-192107
201,kein_Terminated,Zeit abgelaufen,0.2,233,66,300.5,25,6,20250423-192125
202,kein_Terminated,Zeit abgelaufen,0.22,202,600,300.5,25,0,20250423-192142
203,kein_Terminated,Zeit abgelaufen,0.18,139,758,300.5,24,4,20250423-192157
204,kein_Terminated,Zeit abgelaufen,0.25,139,1674,300.5,24,4,20250423-192212
205,kein_Terminated,Zeit abgelaufen,0.41,96,4156,300.5,24,7,20250423-192228
206,kein_Terminated,Zeit abgelaufen,0.19,355,-1274,300.5,24,7,20250423-192243
207,kein_Terminated,Zeit abgelaufen,0.37,165,2938,300.5,24,8,20250423-192259
208,kein_Terminated,Zeit abgelaufen,0.4,77,4226,300.5,24,8,20250423-192315
209,kein_Terminated,Zeit abgelaufen,0.23,92,1848,300.5,24,4,20250423-192330
210,kein_Terminated,Zeit abgelaufen,0.38,137,3370,300.5,24,8,20250423-192345
211,kein_Terminated,Zeit abgelaufen,0.37,153,3070,300.5,24,8,20250423-192401
212,kein_Terminated,Zeit abgelaufen,0.32,212,1864,300.5,24,5,20250423-192416
213,kein_Terminated,Zeit abgelaufen,0.29,287,714,300.5,24,5,20250423-192431
214,kein_Terminated,Zeit abgelaufen,0.29,306,580,300.5,24,6,20250423-192446
215,kein_Terminated,Zeit abgelaufen,0.24,256,392,300.5,24,6,20250423-192502
216,kein_Terminated,Zeit abgelaufen,0.39,124,3580,300.5,24,0,20250423-192517
217,kein_Terminated,Zeit abgelaufen,0.44,111,4402,300.5,23,8,20250423-192532
218,kein_Terminated,Zeit abgelaufen,0.51,152,4804,300.5,23,8,20250423-192548
219,kein_Terminated,Zeit abgelaufen,0.48,49,5490,300.5,23,6,20250423-192603
220,kein_Terminated,Zeit abgelaufen,0.19,62,1736,300.5,23,6,20250423-192618
221,kein_Terminated,Zeit abgelaufen,0.37,163,2986,300.5,23,9,20250423-192633
222,kein_Terminated,Zeit abgelaufen,0.34,112,3028,300.5,23,9,20250423-192649
